English,French
Asia/Kuala_Lumpur,Asie / Kuala_Lumpur
Asia/Kuching,Asie / Kuching
Africa/Maputo,Afrique / Maputo
Africa/Windhoek,Afrique / Windhoek
Pacific/Noumea,Pacifique / Nouméa
Africa/Niamey,Afrique / Niamey
Pacific/Norfolk,Pacifique / Norfolk
Africa/Lagos,Afrique / Lagos
America/Managua,Amérique / Managua
Europe/Amsterdam,Europe / Amsterdam
Europe/Oslo,Europe / Oslo
Asia/Kathmandu,Asie / Katmandou
Pacific/Nauru,Pacifique / Nauru
Pacific/Niue,Pacifique / Niue
Pacific/Auckland,Pacifique / Auckland
Pacific/Chatham,Pacifique / Chatham
Asia/Muscat,Asie / Muscat
America/Panama,Amérique / Panama
America/Lima,Amérique / Lima
Pacific/Gambier,Pacifique / Gambier
Pacific/Marquesas,Pacifique / Marquises
Pacific/Tahiti,Pacifique / Tahiti
Pacific/Bougainville,Pacifique / Bougainville
Pacific/Port_Moresby,Pacifique / Port_Moresby
Asia/Manila,Asie / Manille
Asia/Karachi,Asie / Karachi
Europe/Warsaw,Europe / Varsovie
America/Miquelon,Amérique / Miquelon
Pacific/Pitcairn,Pacifique / Pitcairn
America/Puerto_Rico,Amérique / Puerto_Rico
Asia/Gaza,Asie / Gaza
Asia/Hebron,Asie / Hébron
Atlantic/Azores,Atlantique / Açores
Atlantic/Madeira,Atlantique / Madère
Europe/Lisbon,Europe / Lisbonne
Pacific/Palau,Pacifique / Palau
America/Asuncion,Amérique / Asuncion
Asia/Qatar,Asie / Qatar
Indian/Reunion,Indien / Réunion
Europe/Bucharest,Europe / Bucarest
Europe/Belgrade,Europe / Belgrade
Asia/Anadyr,Asie / Anadyr
Asia/Barnaul,Asie / Barnaul
Asia/Chita,Asie / Chita
Asia/Irkutsk,Asie / Irkoutsk
Asia/Kamchatka,Asie / Kamchatka
Asia/Khandyga,Asie / Khandyga
Asia/Krasnoyarsk,Asie / Krasnoïarsk
Asia/Magadan,Asie / Magadan
Asia/Novokuznetsk,Asie / Novokuznetsk
Asia/Novosibirsk,Asie / Novosibirsk
Asia/Omsk,Asie / Omsk
Asia/Sakhalin,Asie / Sakhaline
Asia/Srednekolymsk,Asie / Srednekolymsk
Asia/Tomsk,Asie / Tomsk
Asia/Ust-Nera,Asie / Ust-Nera
Asia/Vladivostok,Asie / Vladivostok
Asia/Yakutsk,Asie / Yakutsk
Asia/Yekaterinburg,Asie / Ekaterinbourg
Europe/Astrakhan,Europe / Astrakhan
Europe/Kaliningrad,Europe / Kaliningrad
Europe/Kirov,Europe / Kirov
Europe/Moscow,Europe / Moscou
Europe/Samara,Europe / Samara
Europe/Saratov,Europe / Saratov
Europe/Ulyanovsk,Europe / Oulianovsk
Europe/Volgograd,Europe / Volgograd
Africa/Kigali,Afrique / Kigali
Asia/Riyadh,Asie / Riyad
Pacific/Guadalcanal,Pacifique / Guadalcanal
Indian/Mahe,Indien / Mahe
Africa/Khartoum,Afrique / Khartoum
Europe/Stockholm,Europe / Stockholm
Asia/Singapore,Asie / Singapour
Atlantic/St_Helena,Atlantique / St_Helena
Europe/Ljubljana,Europe / Ljubljana
Arctic/Longyearbyen,Arctique / Longyearbyen
Europe/Bratislava,Europe / Bratislava
Africa/Freetown,Afrique / Freetown
Europe/San_Marino,Europe / Saint-Marin
Africa/Dakar,Afrique / Dakar
Africa/Mogadishu,Afrique / Mogadiscio
America/Paramaribo,Amérique / Paramaribo
Africa/Juba,Afrique / Juba
Africa/Sao_Tome,Afrique / Sao_Tome
America/El_Salvador,Amérique / El_Salvador
America/Lower_Princes,Amérique / Lower_Princes
Asia/Damascus,Asie / Damas
Africa/Mbabane,Afrique / Mbabane
America/Grand_Turk,Amérique / Grand_Turk
Africa/Ndjamena,Afrique / Ndjamena
Indian/Kerguelen,Indien / Kerguelen
Africa/Lome,Afrique / Lomé
Asia/Bangkok,Asie / Bangkok
Asia/Dushanbe,Asie / Douchanbé
Pacific/Fakaofo,Pacifique / Fakaofo
Asia/Dili,Asie / Dili
Asia/Ashgabat,Asie / Achgabat
Africa/Tunis,Afrique / Tunis
Pacific/Tongatapu,Pacifique / Tongatapu
Europe/Istanbul,Europe / Istanbul
America/Port_of_Spain,Amérique / Port_de_Espagne
Pacific/Funafuti,Pacifique / Funafuti
Asia/Taipei,Asie / Taipei
Africa/Dar_es_Salaam,Afrique / Dar_es_Salaam
Europe/Kiev,Europe / Kiev
Europe/Simferopol,Europe / Simferopol
Europe/Uzhgorod,Europe / Uzhgorod
Europe/Zaporozhye,Europe / Zaporozhye
Africa/Kampala,Afrique / Kampala
Pacific/Midway,Pacifique / Midway
Pacific/Wake,Pacifique / Wake
America/Adak,Amérique / Adak
America/Anchorage,Amérique / Anchorage
America/Boise,Amérique / Boise
America/Chicago,Amérique / Chicago
America/Denver,Amérique / Denver
America/Detroit,Amérique / Detroit
America/Indiana/Indianapolis,Amérique / Indiana / Indianapolis
America/Indiana/Knox,Amérique / Indiana / Knox
America/Indiana/Marengo,Amérique / Indiana / Marengo
America/Indiana/Petersburg,Amérique / Indiana / Petersburg
America/Indiana/Tell_City,Amérique / Indiana / Tell_City
America/Indiana/Vevay,Amérique / Indiana / Vevay
America/Indiana/Vincennes,Amérique / Indiana / Vincennes
America/Indiana/Winamac,Amérique / Indiana / Winamac
America/Juneau,Amérique / Juneau
America/Kentucky/Louisville,Amérique / Kentucky / Louisville
America/Kentucky/Monticello,Amérique / Kentucky / Monticello
America/Los_Angeles,Amérique / Los_Angeles
America/Menominee,Amérique / Menominee
America/Metlakatla,Amérique / Metlakatla
America/New_York,Amérique / New_York
America/Nome,Amérique / Nome
America/North_Dakota/Beulah,Amérique / Dakota du Nord / Beulah
America/North_Dakota/Center,Amérique / Dakota du Nord / Centre
America/North_Dakota/New_Salem,Amérique / Dakota du Nord / New_Salem
America/Phoenix,Amérique / Phoenix
America/Sitka,Amérique / Sitka
America/Yakutat,Amérique / Yakutat
Pacific/Honolulu,Pacifique / Honolulu
America/Montevideo,Amérique / Montevideo
Asia/Samarkand,Asie / Samarkand
Asia/Tashkent,Asie / Tachkent
Europe/Vatican,Europe / Vatican
America/St_Vincent,Amérique / St_Vincent
America/Caracas,Amérique / Caracas
America/Tortola,Amérique / Tortola
America/St_Thomas,Amérique / St_Thomas
Asia/Ho_Chi_Minh,Asie / Ho_Chi_Minh
Pacific/Efate,Pacifique / Efate
Pacific/Wallis,Pacifique / Wallis
Pacific/Apia,Pacifique / Apia
Asia/Aden,Asie / Aden
Indian/Mayotte,Indien / Mayotte
Africa/Johannesburg,Afrique / Johannesburg
Africa/Lusaka,Afrique / Lusaka
Africa/Harare,Afrique / Harare
Company Profile,Profil de la société
Opensips Dispatcher,Dispatcher OpenSips
account_refilled,compte rechargé
create_account,créer un compte
create_sip_device,créer un appareil sip
new_invoice,nouvelle facture
low_balance,faible solde
signup_confirmation,confirmation d'inscription
new_password,nouveau mot de passe
forgot_password_confirmation,confirmation du mot de passe oublié
invoice_due_reminder,facture due rappel
new_archive_table,nouvelle table d'archive
balance_tranfer,transfert de solde
product_purchase,achat de produit
product_release,lancement de produit
product_renewal_notice,avis de renouvellement de produit
product_renewed,produit renouvelé
product_commission,commission produit
cdrs_archive_table_create_success,la table d'archive cdrs crée le succès
cdrs_archive_table_create_fail,échec de la création de la table d'archive cdrs
reset_password,réinitialiser le mot de passe
international_low_balance,solde bas international
account_postcharge,compte postcharge
ACCOUNT_INACTIVE_DELETED,COMPTE INACTIF SUPPRIMÉ
ACCOUNT_EXPIRE,COMPTE EXPIRE
ALLOTTED_TIMEOUT,TEMPS D'INTERVENTION ALLOTÉ
AUTHENTICATION_FAIL,ÉCHEC DE L'AUTHENTIFICATION
BEARERCAPABILITY_NOTAUTH,NOTAUTH DE PORTABILITÉ
BEARERCAPABILITY_NOTAVAIL,NON DISPONIBLE
BEARERCAPABILITY_NOTIMPL,NOTIMPL DE CAPACITÉ DE PORTÉE
CALL_REJECTED,APPEL REJETÉ
CHAN_NOT_IMPLEMENTED,CHAN NON MIS EN ŒUVRE
CHANNEL_UNACCEPTABLE,CANAL INACCEPTABLE
DESTINATION_OUT_OF_ORDER,DESTINATION HORS COMMANDE
DESTINATION_BLOCKED,DESTINATION BLOQUÉE
DID_DESTINATION_NOT_FOUND,LA DESTINATION N'A PAS TROUVÉ
FACILITY_REJECTED,FACILITÉ REJETÉE
FACILITY_NOT_SUBSCRIBED,FACILITÉ NON ABONNÉE
FACILITY_NOT_IMPLEMENTED,INSTALLATION NON MISE EN ŒUVRE
FRAUD_CALL_PER_ACCOUNT,APPEL DE FRAUDE PAR COMPTE
FRAUD_CALL_PER_DESTINATION,APPEL DE FRAUDE PAR DESTINATION
FRAUD_COST_PER_ACCOUNT,COÛT DE FRAUDE PAR COMPTE
FRAUD_COST_PER_DESTINATION,COÛT DE FRAUDE PAR DESTINATION
INVALID_NUMBER_FORMAT,FORMAT DE NUMÉRO NON VALIDE
INCOMPATIBLE_DESTINATION,DESTINATION INCOMPATIBLE
MANAGER_REQUEST,DEMANDE DU MANAGER
MEDIA_TIMEOUT,TEMPS MÉDIA
NO_ROUTE_DESTINATION,PAS DE DESTINATION DE ROUTE
NORMAL_CLEARING,DÉGAGEMENT NORMAL
NETWORK_OUT_OF_ORDER,RÉSEAU HORS SERVICE
NORMAL_UNSPECIFIED,NORMAL NON SPÉCIFIÉ
NORMAL_CIRCUIT_CONGESTION,CONGESTION DU CIRCUIT NORMAL
NORMAL_TEMPORARY_FAILURE,PANNE TEMPORAIRE NORMAL
NO_SUFFICIENT_FUND,PAS DE FONDS SUFFISANT
NO_USER_RESPONSE,AUCUNE RÉPONSE DE L'UTILISATEUR
NO_ANSWER,PAS DE RÉPONSE
NUMBER_CHANGED,NUMÉRO CHANGÉ
ORIGINATOR_CANCEL,ANNULER L'ORIGINATEUR
ORIGNATION_RATE_NOT_FOUND,TAUX D'ORIGNATION NON TROUVÉ
OUTGOING_CALL_BARRED,BARRE D'APPEL SORTANT
PROGRESS_TIMEOUT,DÉLAI DE PROGRESSION
RECOVERY_ON_TIMER_EXPIRE,RÉCUPÉRATION À L'EXPIRATION DE LA MINUTERIE
RESELLER_COST_CHEAP,COÛT REVENDEUR PAS CHER
SERVICE_NOT_IMPLEMENTED,SERVICE NON MIS EN ŒUVRE
SERVICE_UNAVAILABLE,SERVICE INDISPONIBLE
SUCCESS,SUCCÈS
SWITCH_CONGESTION,CONGESTION DES INTERRUPTEURS
TERMINATION_RATE_NOT_FOUND,TAUX DE RÉSILIATION NON TROUVÉ
UNSPECIFIED,NON SPÉCIFIÉ
UNALLOCATED_NUMBER,NUMÉRO NON ATTRIBUÉ
USER_BUSY,UTILISATEUR OCCUPÉ
USER_NOT_REGISTERED,UTILISATEUR NON ENREGISTRÉ
REQUESTED_CHAN_UNAVAIL,CHAN DEMANDÉ NON DISPONIBLE
SUBSCRIBER_ABSENT,ABONNÉ ABSENT
account_refilled,compte rechargé
create_account,créer un compte
create_sip_device,créer un appareil sip
new_invoice,nouvelle facture
low_balance,faible solde
signup_confirmation,confirmation d'inscription
new_password,nouveau mot de passe
forgot_password_confirmation,confirmation du mot de passe oublié
invoice_due_reminder,facture due rappel
new_archive_table,nouvelle table d'archive
balance_tranfer,transfert de solde
product_purchase,achat de produit
product_release,lancement de produit
product_renewal_notice,avis de renouvellement de produit
product_renewed,produit renouvelé
product_commission,commission produit
cdrs_archive_table_create_success,la table d'archive cdrs crée le succès
cdrs_archive_table_create_fail,échec de la création de la table d'archive cdrs
reset_password,réinitialiser le mot de passe
international_low_balance,solde bas international
account_postcharge,compte postcharge
Caller Id (CLI Match - If not matched then use random allocated Caller Id),"Identifiant de l'appelant (correspondance CLI - Si ce n'est pas le cas, utilisez l'identifiant de l'appelant alloué de manière aléatoire)"
DID (CLI Match - If not matched then use random allocated DID),"DID (CLI Match - S'il ne correspond pas, utilisez le DID alloué de manière aléatoire)"
ERROR:No Reords found.,ERREUR: aucun Reords trouvé.
Sub Admin,Sous-administrateur
Create Account Range For Customer,Créer une plage de comptes pour le client
Minimum Account Number,Numéro de compte minimum
Maximum Account Number,Numéro de compte maximum
Create Account Range For Reseller,Créer une plage de comptes pour le revendeur
Create Account Range For Provider,Créer une plage de comptes pour le fournisseur
International Credits,Crédits internationaux
Recharge,Recharger
Basic Details,Détails de base
International Balance,Balance internationale
InternationalPrefixes,Préfixes internationaux
International Prefixes,Préfixes internationaux
International Credit Limit,Limite de crédit internationale
Create Local Number,Créer un numéro local
Local Number Import Process,Processus d'importation de numéro local
Import Local Number,Importer un numéro local
Edit Local Number,Modifier le numéro local
Mailchimp,Mailchimp
Mailchimp API Key,Clé API Mailchimp
Mailchimp Audience Id,ID d'audience Mailchimp
Support Tickets,Billets d'assistance
Support Ticket,Ticket de support
Create Support Ticket,Créer un ticket de support
Open New Ticket,Ouvrir un nouveau ticket
Department,département
Attach more files,Joindre plus de fichiers
Reply,Réponse
Submit,Soumettre
High,Haute
Normal,Ordinaire
Low,Faible
Open,Ouvert
Answered,Répondu
Customer-Reply,Réponse client
On-hold,En attente
Progress,Le progrès
Ticket Number,Numéro de billet
Close Support Ticket,Fermer le ticket de support
Last Reply,Dernière réponse
Ticket No,Numéro de billet
--All--,--Tout--
Add Department,Ajouter un département
Department List,Liste des départements
SMTP Details,Détails SMTP
Department Additional Email Address,Adresse e-mail supplémentaire du département
Department User,Utilisateur du service
Charge Full Amount,Facturer le montant total
Based On Utilized Days,Basé sur les jours utilisés
XML Updated Successfully!,XML mis à jour avec succès!
ACL Reload Successfully!,Rechargement de l'ACL avec succès!
ACL Management,Gestion ACL
XML,XML
XML is Required!,XML est requis!
Reload ACL,Recharger ACL
Low Balance,Balance faible
Current Balance,Solde actuel
Trunk Statistics,Statistiques du tronc
Create Account Range,Créer une plage de comptes
Recharge done successfully!,Recharge effectuée avec succès!
Duplicate Local number found from database,Numéro local en double trouvé dans la base de données
Country not valid.,Pays non valide.
Duplicate Local number found from import file.,Numéro local en double trouvé à partir du fichier d'importation.
Local Number Import Error,Erreur d'importation du numéro local
Local number updated successfully!,Numéro local mis à jour avec succès!
Local number added successfully!,Numéro local ajouté avec succès!
Local number removed successfully!,Numéro local supprimé avec succès!
Local number forwarding successfully!,Transfert du numéro local avec succès!
Destination Number,Numéro du destinataire
Destination Name,Nom de la destination
Add Local Number,Ajouter un numéro local
Added Date,Date d'ajout
Support ticket removed successfully!,Le ticket d'assistance a bien été supprimé!
Support ticket generated successfully!,Ticket d'assistance généré avec succès!
Edit Ticket,Modifier le ticket
Create Department,Créer un département
Department added successfully!,Département ajouté avec succès!
Department removed successfully!,Département supprimé avec succès!
Import Area Code,Importer l'indicatif régional
Back to Area Code List,Retour à la liste des indicatifs régionaux
Alarm added successfully!,Alarme ajoutée avec succès!
Alarm updated successfully!,Alarme mise à jour avec succès!
Add Custom Rate,Ajouter un tarif personnalisé
Custom Rate Updated Successfully!,Taux personnalisé mis à jour avec succès!
Custom Rate Added Successfully!,Taux personnalisé ajouté avec succès!
Custom rate removed successfully!,Taux personnalisé supprimé avec succès!
Delete Search Record,Supprimer l'enregistrement de recherche
Add Prefixes,Ajouter des préfixes
Register Gateway Information,Enregistrer les informations de la passerelle
Authentication,Authentification
Please Enter Valid Key,Veuillez saisir une clé valide
Alert,Alerte
Remote Check Failed,La vérification à distance a échoué
MD5 Checksum Verification Failed,Échec de la vérification de la somme de contrôle MD5
Gateway ragister fail please try again,"Échec du ragister de la passerelle, veuillez réessayer"
Context,Le contexte
Expires,Expire
Frequency,La fréquence
Ping Frequency,Fréquence Ping
Fails Call In,Échec de l'appel
Fails Call Out,Échec de l'appel
Opensips Devices,Appareils OpenSips
Second,Seconde
Add Auth Email,Ajouter une adresse e-mail d'authentification
Edit Auth Email,Modifier l'e-mail d'authentification
Add Authemail,Ajouter la messagerie automatique
Auth Email updated successfully!,E-mail d'authentification mis à jour avec succès!
Auth Email added successfully!,E-mail d'authentification ajouté avec succès!
Auth Email removed successfully!,E-mail d'authentification supprimé avec succès!
Auth Email,E-mail d'authentification
Authemail added successfully!,Authemail ajouté avec succès!
Please Enter Authemail value.,Veuillez saisir la valeur de la messagerie automatique.
Authemail already Exists.,Authemail existe déjà.
Authemail removed sucessfully!,Authemail supprimé avec succès!
Auth Email List,Liste de courrier électronique d'authentification
Auth Mapping,Mappage d'authentification
Auth,Auth
Authemail,Authemail
Faxer,Télécopieur
This file not avilable for download!,Ce fichier n'est pas disponible en téléchargement!
Create FAX,Créer un fax
Web2fax removed successfully!,Web2fax supprimé avec succès!
Fax Type,Type de fax
Fax Number,Numéro de fax
Fax Format,Format de télécopie
Fax Sent,Fax envoyé
Send Date,Envoyer la date
Files with format are allowed: .pdf,Les fichiers au format sont autorisés: .pdf
Send Fax,Envoyer un fax
Receive,Recevoir
Error,Erreur
Conference List,Liste des conférences
Edit Conference,Modifier la conférence
Create Conference,Créer une conférence
Conference Added Successfully!,Conférence ajoutée avec succès!
Conference Updated Successfully!,Conférence mise à jour avec succès!
Conference removed successfully!,Conférence supprimée avec succès!
Conference profiles,Profils de conférence
Create Conference profiles,Créer des profils de conférence
Edit Conference Profile,Modifier le profil de la conférence
Conference Setting Added Successfully!,Paramètre de conférence ajouté avec succès!
Conference Setting Updated Successfully!,Réglage de la conférence mis à jour avec succès!
Conference Profile Removed Successfully!,Le profil de la conférence a bien été supprimé!
Conference Profiles Added Successfully!,Profils de conférence ajoutés avec succès!
Conference Profiles Updated Successfully!,Profils de conférence mis à jour avec succès!
Conference profiles removed successfully!,Profils de conférence supprimés avec succès!
Conference controls List,Liste des contrôles de conférence
Edit Conference controls,Modifier les commandes de la conférence
Conference Controls Removed Successfully!,Commandes de conférence supprimées avec succès!
Conference Controls Added Successfully!,Commandes de conférence ajoutées avec succès!
Conference Controls Updated Successfully!,Contrôles de la conférence mis à jour avec succès!
Pin Number,Code PIN
Duration (Second),Durée (seconde)
Greeting,Salutation
Create Conference Controls,Créer des contrôles de conférence
Controls Name,Nom des contrôles
Data,Les données
Domains,Domaines
Edit Domains,Modifier les domaines
Domain Updated Successfully!,Domaine mis à jour avec succès!
Please enter proper domain value.,Veuillez saisir la valeur de domaine appropriée.
Domain name,Nom de domaine
Edit Domain,Modifier le domaine
Feature Code,Code de fonction
Feature code removed successfully!,Le code de fonction a bien été supprimé!
Feature code is already exist in system,Le code de fonction existe déjà dans le système
Pickup Group,Groupe de ramassage
Create Pickup Group,Créer un groupe de ramassage
Edit Pickup Group,Modifier le groupe de ramassage
Pickup group updated successfully!,Groupe de ramassage mis à jour avec succès!
Pickup group added successfully!,Groupe de ramassage ajouté avec succès!
Pickup group removed successfully!,Groupe de ramassage supprimé avec succès!
Feature,Fonctionnalité
IVR List,Liste IVR
Create IVR,Créer IVR
Edit IVR,Modifier IVR
Ivr added successfully!,Ivr ajouté avec succès!
Ivr updated successfully!,Ivr a été mis à jour avec succès!
Ivr removed successfully!,Ivr supprimé avec succès!
Caller ID Name Prefix,Préfixe du nom de l'ID de l'appelant
Options,Options
Advance,Avance
Add More,Ajouter plus de
Ring Back,Rappeler
Invalid Retries,Tentatives non valides
Timeout,Temps libre
Caller ID Number Prefix,Préfixe du numéro d'identification de l'appelant
Invalid Message,Message invalide
Welcome Greeting,Salut de bienvenue
Direct Dial,Ligne directe
Create Queue,Créer une file d'attente
Edit Queue,Modifier la file d'attente
Queue Added Successfully!,File d'attente ajoutée avec succès!
Queue Updated Successfully!,File d'attente mise à jour avec succès!
Queue removed successfully!,File d'attente supprimée avec succès!
Agent Dial Number,Numéro de composition de l'agent
Queues,Files d'attente
Queue,Queue
Edit Recording,Modifier l'enregistrement
Create Recording,Créer un enregistrement
Recording Added Successfully!,Enregistrement ajouté avec succès!
Recording deleted successfully!,Enregistrement supprimé avec succès!
Recording Information,Informations d'enregistrement
to create a recording,pour créer un enregistrement
Dial,Cadran
Ring Group,Groupe de sonnerie
Ring Group Add,Ajouter un groupe de sonnerie
Edit Ring Group,Modifier le groupe de sonnerie
Create Ringgroup,Créer un Ringgroup
Ring group added successfully!,Groupe de sonnerie ajouté avec succès!
Ring group updated successfully!,Groupe de sonnerie mis à jour avec succès!
Ring group deleted successfully!,Le groupe de sonnerie a bien été supprimé!
Ring Group Information,Informations sur le groupe de sonnerie
Do you want create sip devices?,Voulez-vous créer des appareils SIP?
Sip device Count,Nombre d'appareils Sip
Next,Suivant
Basic Settings,Paramètres de base
Ring Strategy,Stratégie d'anneau
Sequence,Séquence
Simultaneous,Simultané
Delay (Seconds),Retard (secondes)
Timeout (Seconds),Délai d'expiration (secondes)
Prompt,Rapide
Announcement,Annonce
CID Name Prefix,Préfixe de nom CID
CID Number Prefix,Préfixe du numéro CID
Call Recording,Enregistrement d'appel
Forcefully Enable,Activer avec force
Forcefully Disable,Désactiver avec force
Skip busy,Sauter occupé
No Answer Call Type,Type d'appel sans réponse
Call Routing,Acheminement des appels
Enabled,Activée
Disabled,désactivé
Time Conditions List,Liste des conditions de temps
Create Time Conditions,Créer des conditions de temps
Edit Time Conditions,Modifier les conditions de temps
Time Conditions Added Successfully!,Conditions de temps ajoutées avec succès!
Time Conditions Updated Successfully!,Conditions de temps mises à jour avec succès!
Time Conditions removed successfully!,Conditions de temps supprimées avec succès!
Failover Condition,Condition de basculement
Start Hour,Heure de début
Week day,Jour de la semaine
Month day,Mois jour
End Hour,Heure de fin
Jan,Jan
Feb,fév
Mar,Mar
Apr,avr
Jun,Juin
Jul,juil
Aug,Août
Sep,SEP
Oct,oct
Nov,nov
Dec,déc
Sunday,dimanche
Monday,Lundi
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,samedi
Extensions Destination,Destination des extensions
Extensions Call Type,Type d'appel d'extensions
Ignore Busy,Ignorer Occupé
Do Not Disturb,Ne pas déranger
Pickup Group List,Liste des groupes de ramassage
Allow Pickup Group List,Autoriser la liste des groupes de ramassage
Not Registered,Non enregistré
Call Waiting,Appel en attente
On Busy,Sur occupé
No Answer,Pas de réponse
Destinations,Destinations
Follow Me,Suivez-moi
Conference Profile,Profil de la conférence
Conference Controls,Commandes de conférence
Conference,Conférence
Time Conditions,Conditions de temps
RingGroup,RingGroup
IVR,IVR
Advance Settings,Paramètres avancés
Agent Back-Tone,Fond d'écran de l'agent
Customer Back-Tone,Back-Tone du client
Time Condition,Condition de temps
LAST FTP PROCESS,DERNIER PROCESSUS FTP
Group Name,Nom de groupe
Ported Number List,Liste des numéros portés
Import Ported Number,Importer le numéro de port
has been uploaded successfully!,a été téléchargé avec succès!
Destination From,Destination De
Destination To,Destination à
Routing Label,Étiquette de routage
Number From,Numéro de
Participant,Participant
Number To,Numéro à
File must be in the following format(.gz):,Le fichier doit être au format suivant (.gz):
Create Schedule Report,Créer un rapport de planification
Schedule Report,Rapport de planification
Schedule Report added successfully!,Le rapport de planification a été ajouté avec succès!
Schedule Report has been deleted !,Le rapport de planification a été supprimé!
Email ID,ID e-mail
Filters,Filtres
Unique ID,Identifiant unique
Call Start,Début de l'appel
Recurring Type,Type récurrent
Field List,Liste de champ
Report Description,Description du rapport
Are you sure you want to close?,Voulez-vous vraiment fermer?
Alarm Name,Nom de l'alarme
Alarm Type,Type d'alarme
Alarm On,Alarme activée
Threshold Value,Valeur de seuil
Period,Période
Last Triggered Date,Date du dernier déclenchement
Create Alarm,Créer une alarme
Ping Type,Type de ping
Freeswitch,Freeswitch
Console,Console
Period (In Seconds),Période (en secondes)
Edit Alarm,Modifier l'alarme
CIC,CIC
Active Calls,Appels actifs
Call Alarms,Alarmes d'appel
Report,rapport
Triggered Value,Valeur déclenchée
Period,Période
Alarm Report,Rapport d'alarme
Resolved,Résolu
Are you sure want to close selected alarm ?,Voulez-vous vraiment fermer l'alarme sélectionnée?
Country Report,Rapport de pays
Debits,Les débits
ASR : Answer Seizure Ratio,ASR: Taux de saisie de réponse
ACD : Average Call Duration,ACD: durée moyenne des appels
MCD : Maximum Call Duration,MCD: durée maximale des appels
Custom Rates,Tarifs personnalisés
Create Custom Rate,Créer un tarif personnalisé
Edit Custom Rate,Modifier le tarif personnalisé
Registered SIP Devices,Appareils SIP enregistrés
Switch Host,Changer d'hôte
Refresh Time,Temps de rafraîchissement
Sec.,Seconde.
Min.,Min.
User,Utilisateur
Contact,Contact
Client-IP,Client-IP
Client Port,Port client
User Agent,Agent utilisateur
Registered Gateways,Passerelles enregistrées
Call In,Appelle
Call Out,Faire appel à
Fail Call In,Échec de l'appel
Fail Call Out,Échec de l'appel
State,Etat
Switch CLI,Commutateur CLI
Freeswitch CLI,CLI Freeswitch
Live Call Graph,Graphique des appels en direct
--Select All--,--Tout sélectionner--
Call Count,Nombre d'appels
Live Call data,Données d'appels en direct
SMS Rate Group,Groupe de tarifs SMS
SMS CDRs,CDR SMS
Auto Refill,Recharge automatique
Refill Amount,Montant de recharge
Occurrence Per Day,Occurrence par jour
Message From,Message de
Message To,Message à
SMS Type,Type de SMS
Profile Name,Nom de profil
Edit Conference profiles,Modifier les profils de conférence
Ring-Group,Groupe en anneau
Failover Destination,Destination de basculement
Timeout(min),Délai d'expiration (min)
Create SMS Rate Group,Créer un groupe de tarifs SMS
SMS Rate Group Information,Informations sur le groupe de tarifs SMS
Markup(%),Balisage (%)
SMS Origination Rate,Taux de création de SMS
Per SMS Cost,Coût par SMS
SMS Trunk add,Ajout de tronc SMS
SMS Trunk Information,Informations sur le tronc SMS
Trunk Settings,Paramètres du coffre
Precedence,Priorité
Trunk Name,Nom du tronc
Edit SMS Trunk,Modifier le tronc SMS
Add SMS Termination Rates,Ajouter des tarifs de terminaison SMS
Edit SMS Termination Rates,Modifier les taux de terminaison SMS
Import SMS Termination Rates Using Field Mapper,Importer les taux de terminaison SMS à l'aide de Field Mapper
Import SMS Termination Rates,Importer les taux de terminaison SMS
SMS Trunk,Tronc SMS
Create SMS Gateway,Créer une passerelle SMS
Base URL,URL de base
Api Key / Application Id,Clé API / ID d'application
Secret Key Id,Identifiant de clé secrète
Api Key,Clé API
Based On Utilized Free Minutes,Basé sur les minutes gratuites utilisées
Based On Utilized Highest Days/Free Minutes,Basé sur les jours les plus utilisés / minutes gratuites
ASR : Answer Seizure Ratio,ASR: Taux de saisie de réponse
ACD : Average Call Duration,ACD: durée moyenne des appels
MCD : Maximum Call Duration,MCD: durée maximale des appels
Edit SMS Rate Group,Modifier le groupe de tarifs SMS
 (Enterprise),  (Entreprise)
Edit SMS Gateway,Modifier la passerelle SMS
Edit Department,Modifier le département
Edit Support Ticket,Modifier le ticket d'assistance
SMS Package,Paquet SMS
Free SMS,SMS gratuit
auto_reply_mail_support,support de messagerie de réponse automatique
email_sent_support_ticket,ticket d'assistance envoyé par e-mail
alarm_report,rapport d'alarme
two_factor_authentication,authentification à deux facteurs
schedule_report,rapport de planification
ported_number,numéro porté
ported_number_ftp_connect,numéro de portage ftp connect
ported_number_no_file,numéro porté pas de fichier
fraud_report,rapport de fraude
outbound_fax_mail,courrier de télécopie sortant
fax_receive_mail,fax recevoir du courrier
Format,Format
Fax Method,Méthode de télécopie
SIP Device,Périphérique SIP
Web2fax,Web2fax
Email2fax,Email2fax
Fax2Mail,Fax2Mail
Success,Succès
File,Fichier
APFaxer,APFaxer
Fax send Retries,Tentatives d'envoi de télécopie
Fax Email Id,Adresse e-mail de télécopie
Fax Email Password,Mot de passe de courrier électronique de télécopie
Fax Server,Serveur de fax
Fax Server SIP Port,Port SIP du serveur de télécopie
Fax Email Host,Hôte de courrier électronique de télécopie
Create Fraud Detection,Créer une détection de fraude
Filter by,Filtrer par
Per Dst. Prefix,Par Dst. Préfixe
Group By Dst. Prefix,Group By Dst. Préfixe
Per Country,Par pays
Group by Country,Grouper par pays
Time Period,Période de temps
Warning Threshold,Seuil d'avertissement
