English,Portuguese
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Moscou
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgogrado
Africa/Kigali,Africa / Kigali
Asia/Riyadh,Asia / Riyadh
Pacific/Guadalcanal,Pacífico / Guadalcanal
Indian/Mahe,Índio / mahe
Africa/Khartoum,Africa / Cartum
Europe/Stockholm,Europa / Estocolmo
Asia/Singapore,Asia / Singapore
Atlantic/St_Helena,Atlantic / St_Helena
Europe/Ljubljana,Europa / Ljubljana
Arctic/Longyearbyen,Ártico / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,Africa / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,Africa / Dakar
Africa/Mogadishu,Africa / Mogadishu
America/Paramaribo,America / Paramaribo
Africa/Juba,Africa / Juba
Africa/Sao_Tome,Africa / Sao_Tome
America/El_Salvador,America / El_Salvador
America/Lower_Princes,America / Lower_Princes
Asia/Damascus,Asia / Damascus
Africa/Mbabane,Africa / Mbabane
America/Grand_Turk,America / Grand_Turk
Africa/Ndjamena,Africa / Ndjamena
Indian/Kerguelen,Indian / Kerguelen
Africa/Lome,Africa / Lome
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dushanbe
Pacific/Fakaofo,Pacífico / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,Africa / Tunis
Pacific/Tongatapu,Pacífico / Tongatapu
Europe/Istanbul,Europa / Istambul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacífico / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,Africa / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporozhye
Africa/Kampala,Africa / Kampala
Pacific/Midway,Pacífico / Midway
Pacific/Wake,Pacífico / Wake
America/Adak,America / Adak
America/Anchorage,America / Anchorage
America/Boise,America / Boise
America/Chicago,America / Chicago
America/Denver,America / Denver
America/Detroit,America / Detroit
America/Indiana/Indianapolis,América / Indiana / Indianápolis
America/Indiana/Knox,América / Indiana / Knox
America/Indiana/Marengo,América / Indiana / Marengo
America/Indiana/Petersburg,América / Indiana / Petersburgo
America/Indiana/Tell_City,América / Indiana / Tell_City
America/Indiana/Vevay,América / Indiana / Vevay
America/Indiana/Vincennes,América / Indiana / Vincennes
America/Indiana/Winamac,América / Indiana / Winamac
America/Juneau,America / Juneau
America/Kentucky/Louisville,América / Kentucky / Louisville
America/Kentucky/Monticello,América / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,America / Menominee
America/Metlakatla,America / Metlakatla
America/New_York,America / New_York
America/Nome,America / Nome
America/North_Dakota/Beulah,America / North_Dakota / Beulah
America/North_Dakota/Center,America / North_Dakota / Center
America/North_Dakota/New_Salem,America / North_Dakota / New_Salem
America/Phoenix,America / Phoenix
America/Sitka,America / Sitka
America/Yakutat,America / Yakutat
Pacific/Honolulu,Pacífico / Honolulu
America/Montevideo,América / Montevidéu
Asia/Samarkand,Asia / Samarkand
Asia/Tashkent,Asia / Tashkent
Europe/Vatican,Europa / Vaticano
America/St_Vincent,America / St_Vincent
America/Caracas,America / Caracas
America/Tortola,America / Tortola
America/St_Thomas,America / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacífico / Efate
Pacific/Wallis,Pacific / Wallis
Pacific/Apia,Pacífico / Apia
Asia/Aden,Asia / Aden
Indian/Mayotte,Indian / Mayotte
Africa/Johannesburg,Africa / Johannesburg
Africa/Lusaka,Africa / Lusaka
Africa/Harare,Africa / Harare
Company Profile,Perfil da companhia
Opensips Dispatcher,Dispatcher Opensips
account_refilled,conta recarregada
create_account,Criar Conta
create_sip_device,criar dispositivo sip
new_invoice,nova fatura
low_balance,equilíbrio baixo
signup_confirmation,confirmação de inscrição
new_password,Nova senha
forgot_password_confirmation,esqueci a confirmação da senha
invoice_due_reminder,lembrete de fatura devida
new_archive_table,nova tabela de arquivo
balance_tranfer,transferência de equilíbrio
product_purchase,compra de produto
product_release,lançamento do produto
product_renewal_notice,aviso de renovação do produto
product_renewed,produto renovado
product_commission,comissão de produto
cdrs_archive_table_create_success,criação de tabela de arquivo cdrs com sucesso
cdrs_archive_table_create_fail,Falha na criação da tabela de arquivo cdrs
reset_password,redefinir senha
international_low_balance,baixo saldo internacional
account_postcharge,conta pós-cobrança
ACCOUNT_INACTIVE_DELETED,CONTA INATIVA EXCLUÍDA
ACCOUNT_EXPIRE,A CONTA EXPIRA
ALLOTTED_TIMEOUT,TEMPO LIMITE ATRIBUÍDO
AUTHENTICATION_FAIL,FALHA DE AUTENTICAÇÃO
BEARERCAPABILITY_NOTAUTH,NOTAUTH DE CAPACIDADE DE BEARERCAPABILITY
BEARERCAPABILITY_NOTAVAIL,NOTAVAIL DE CAPACIDADE DE BEARERCAPABILITY
BEARERCAPABILITY_NOTIMPL,NOTIMPLIDADE DE CAPACIDADE DE TRANSPORTE
CALL_REJECTED,CHAMADA REJEITADA
CHAN_NOT_IMPLEMENTED,CHAN NÃO IMPLEMENTADO
CHANNEL_UNACCEPTABLE,CANAL INACEITÁVEL
DESTINATION_OUT_OF_ORDER,DESTINO FORA DE ORDEM
DESTINATION_BLOCKED,DESTINO BLOQUEADO
DID_DESTINATION_NOT_FOUND,NÃO ENCONTROU DESTINO
FACILITY_REJECTED,FACILIDADE REJEITADA
FACILITY_NOT_SUBSCRIBED,FACILIDADE NÃO ASSINADA
FACILITY_NOT_IMPLEMENTED,FACILIDADE NÃO IMPLEMENTADA
FRAUD_CALL_PER_ACCOUNT,CHAMADA DE FRAUDE POR CONTA
FRAUD_CALL_PER_DESTINATION,CHAMADA DE FRAUDE POR DESTINO
FRAUD_COST_PER_ACCOUNT,CUSTO DE FRAUDE POR CONTA
FRAUD_COST_PER_DESTINATION,CUSTO DE FRAUDE POR DESTINO
INVALID_NUMBER_FORMAT,FORMATO DE NÚMERO INVÁLIDO
INCOMPATIBLE_DESTINATION,DESTINO INCOMPATÍVEL
MANAGER_REQUEST,PEDIDO DE GERENTE
MEDIA_TIMEOUT,MEDIA TIMEOUT
NO_ROUTE_DESTINATION,SEM DESTINO DE ROTA
NORMAL_CLEARING,LIMPEZA NORMAL
NETWORK_OUT_OF_ORDER,REDE FORA DE ORDEM
NORMAL_UNSPECIFIED,NORMAL NÃO ESPECIFICADO
NORMAL_CIRCUIT_CONGESTION,CONGESTÃO DE CIRCUITO NORMAL
NORMAL_TEMPORARY_FAILURE,FALHA TEMPORÁRIA NORMAL
NO_SUFFICIENT_FUND,SEM FUNDO SUFICIENTE
NO_USER_RESPONSE,SEM RESPOSTA DO USUÁRIO
NO_ANSWER,SEM RESPOSTA
NUMBER_CHANGED,NÚMERO ALTERADO
ORIGINATOR_CANCEL,CANCELAR ORIGINADOR
ORIGNATION_RATE_NOT_FOUND,TAXA DE ORIGNAÇÃO NÃO ENCONTRADA
OUTGOING_CALL_BARRED,BARRE DE CHAMADA DE SAÍDA
PROGRESS_TIMEOUT,TEMPO LIMITE DE PROGRESSO
RECOVERY_ON_TIMER_EXPIRE,RECUPERAÇÃO NA EXPIRAÇÃO DO TEMPORIZADOR
RESELLER_COST_CHEAP,RESELLER COST CHEAP
SERVICE_NOT_IMPLEMENTED,SERVIÇO NÃO IMPLEMENTADO
SERVICE_UNAVAILABLE,SERVIÇO INDISPONÍVEL
SUCCESS,SUCESSO
SWITCH_CONGESTION,TROCAR CONGESTÃO
TERMINATION_RATE_NOT_FOUND,TAXA DE RESCISÃO NÃO ENCONTRADA
UNSPECIFIED,NÃO ESPECIFICADO
UNALLOCATED_NUMBER,NÚMERO NÃO ALOCADO
USER_BUSY,USUÁRIO OCUPADO
USER_NOT_REGISTERED,USUÁRIO NÃO REGISTRADO
REQUESTED_CHAN_UNAVAIL,CHAN SOLICITADO NÃO DISPONÍVEL
SUBSCRIBER_ABSENT,ASSINANTE AUSENTE
account_refilled,conta recarregada
create_account,Criar Conta
create_sip_device,criar dispositivo sip
new_invoice,nova fatura
low_balance,equilíbrio baixo
signup_confirmation,confirmação de inscrição
new_password,Nova senha
forgot_password_confirmation,esqueci a confirmação da senha
invoice_due_reminder,lembrete de fatura devida
new_archive_table,nova tabela de arquivo
balance_tranfer,transferência de equilíbrio
product_purchase,compra de produto
product_release,lançamento do produto
product_renewal_notice,nota de renovação do produto
product_renewed,produto renovado
product_commission,comissão de produto
cdrs_archive_table_create_success,criação de tabela de arquivo cdrs com sucesso
cdrs_archive_table_create_fail,Falha na criação da tabela de arquivo cdrs
reset_password,redefinir senha
international_low_balance,baixo saldo internacional
account_postcharge,conta pós-cobrança
Caller Id (CLI Match - If not matched then use random allocated Caller Id),"ID do chamador (correspondência CLI - se não houver correspondência, use o ID do chamador alocado aleatoriamente)"
DID (CLI Match - If not matched then use random allocated DID),"DID (CLI Match - Se não houver correspondência, use DID alocado aleatoriamente)"
ERROR:No Reords found.,ERRO: Nenhum Reords encontrado.
Sub Admin,Sub Admin
Create Account Range For Customer,Criar intervalo de contas para o cliente
Minimum Account Number,Número mínimo de conta
Maximum Account Number,Número máximo de conta
Create Account Range For Reseller,Criar intervalo de contas para revendedor
Create Account Range For Provider,Criar intervalo de conta para provedor
International Credits,Créditos Internacionais
Recharge,Recarrega
Basic Details,Detalhes Básicos
International Balance,Balança Internacional
InternationalPrefixes,InternationalPrefixes
International Prefixes,Prefixos Internacionais
International Credit Limit,Limite de Crédito Internacional
Create Local Number,Criar número local
Local Number Import Process,Processo de importação de número local
Import Local Number,Número local de importação
Edit Local Number,Editar número local
Mailchimp,Mailchimp
Mailchimp API Key,Chave de API Mailchimp
Mailchimp Audience Id,Id de público do Mailchimp
Support Tickets,Tíquetes de Suporte
Support Ticket,Tíquete de Suporte
Create Support Ticket,Criar tíquete de suporte
Open New Ticket,Abrir novo tíquete
Department,Departamento
Attach more files,Anexe mais arquivos
Reply,Resposta
Submit,Enviar
High,Alto
Normal,Normal
Low,Baixo
Open,Abrir
Answered,Respondidos
Customer-Reply,Resposta do cliente
On-hold,Em espera
Progress,Progresso
Ticket Number,Número do bilhete
Close Support Ticket,Fechar tíquete de suporte
Last Reply,Última Resposta
Ticket No,Número do bilhete
--All--,--Todos--
Add Department,Adicionar Departamento
Department List,Lista de Departamento
SMTP Details,Detalhes SMTP
Department Additional Email Address,Endereço de email adicional do departamento
Department User,Usuário do Departamento
Charge Full Amount,Cobrar valor total
Based On Utilized Days,Com base em dias de utilização
XML Updated Successfully!,XML atualizado com sucesso!
ACL Reload Successfully!,ACL recarregar com sucesso!
ACL Management,Gestão ACL
XML,XML
XML is Required!,XML é obrigatório!
Reload ACL,Recarregar ACL
Low Balance,Baixo Saldo
Current Balance,Saldo Atual
Trunk Statistics,Estatísticas de tronco
Create Account Range,Criar intervalo de conta
Recharge done successfully!,Recarga concluída com sucesso!
Duplicate Local number found from database,Número local duplicado encontrado no banco de dados
Country not valid.,País inválido.
Duplicate Local number found from import file.,Número local duplicado encontrado no arquivo de importação.
Local Number Import Error,Erro de importação de número local
Local number updated successfully!,Número local atualizado com sucesso!
Local number added successfully!,Número local adicionado com sucesso!
Local number removed successfully!,Número local removido com sucesso!
Local number forwarding successfully!,Encaminhamento de número local com sucesso!
Destination Number,Número de destino
Destination Name,Nome de Destino
Add Local Number,Adicionar número local
Added Date,Data Adicionada
Support ticket removed successfully!,Tíquete de suporte removido com sucesso!
Support ticket generated successfully!,Tíquete de suporte gerado com sucesso!
Edit Ticket,Editar Ingresso
Create Department,Criar Departamento
Department added successfully!,Departamento adicionado com sucesso!
Department removed successfully!,Departamento removido com sucesso!
Import Area Code,Importar código de área
Back to Area Code List,Voltar para a lista de códigos de área
Alarm added successfully!,Alarme adicionado com sucesso!
Alarm updated successfully!,Alarme atualizado com sucesso!
Add Custom Rate,Adicionar taxa personalizada
Custom Rate Updated Successfully!,Taxa personalizada atualizada com sucesso!
Custom Rate Added Successfully!,Taxa personalizada adicionada com sucesso!
Custom rate removed successfully!,Taxa personalizada removida com sucesso!
Delete Search Record,Excluir registro de pesquisa
Add Prefixes,Adicionar Prefixos
Register Gateway Information,Registrar informações de gateway
Authentication,Autenticação
Please Enter Valid Key,Digite a chave válida
Alert,Alerta
Remote Check Failed,Falha na verificação remota
MD5 Checksum Verification Failed,Falha na verificação da soma de verificação MD5
Gateway ragister fail please try again,"Falha de ragister do gateway, tente novamente"
Context,Contexto
Expires,Expira
Frequency,Frequência
Ping Frequency,Frequência de Ping
Fails Call In,Falha na chamada
Fails Call Out,Falha na chamada
Opensips Devices,Dispositivos Opensips
Second,Segundo
Add Auth Email,Adicionar Email de Autenticação
Edit Auth Email,Editar Email de Autenticação
Add Authemail,Adicionar Authemail
Auth Email updated successfully!,Email de autenticação atualizado com sucesso!
Auth Email added successfully!,Email de autenticação adicionado com sucesso!
Auth Email removed successfully!,Email de autenticação removido com sucesso!
Auth Email,Email de autenticação
Authemail added successfully!,Authemail adicionado com sucesso!
Please Enter Authemail value.,Insira o valor de Authemail.
Authemail already Exists.,Authemail já existe.
Authemail removed sucessfully!,Authemail removido com sucesso!
Auth Email List,Lista de e-mail de autenticação
Auth Mapping,Mapeamento de autenticação
Auth,Auth
Authemail,Authemail
Faxer,Faxer
This file not avilable for download!,Este arquivo não está disponível para download!
Create FAX,Criar FAX
Web2fax removed successfully!,Web2fax removido com sucesso!
Fax Type,Tipo de Fax
Fax Number,Número de fax
Fax Format,Formato de Fax
Fax Sent,Fax enviado
Send Date,Data de envio
Files with format are allowed: .pdf,Arquivos com formato são permitidos: .pdf
Send Fax,Enviar Fax
Receive,Receber
Error,Erro
Conference List,Lista de Conferência
Edit Conference,Editar Conferência
Create Conference,Criar Conferência
Conference Added Successfully!,Conferência adicionada com sucesso!
Conference Updated Successfully!,Conferência atualizada com sucesso!
Conference removed successfully!,Conferência removida com sucesso!
Conference profiles,Perfis de conferência
Create Conference profiles,Criar perfis de conferência
Edit Conference Profile,Editar Perfil da Conferência
Conference Setting Added Successfully!,Configuração da conferência adicionada com sucesso!
Conference Setting Updated Successfully!,Configuração da conferência atualizada com sucesso!
Conference Profile Removed Successfully!,Perfil da conferência removido com sucesso!
Conference Profiles Added Successfully!,Perfis de conferência adicionados com sucesso!
Conference Profiles Updated Successfully!,Perfis de conferência atualizados com sucesso!
Conference profiles removed successfully!,Perfis de conferência removidos com sucesso!
Conference controls List,Lista de controles de conferência
Edit Conference controls,Editar controles de conferência
Conference Controls Removed Successfully!,Controles de conferência removidos com sucesso!
Conference Controls Added Successfully!,Controles de conferência adicionados com sucesso!
Conference Controls Updated Successfully!,Controles de conferência atualizados com sucesso!
Pin Number,Número do PIN
Duration (Second),Duração (segundo)
Greeting,Cumprimento
Create Conference Controls,Criar controles de conferência
Controls Name,Nome dos controles
Data,Dados
Domains,Domínios
Edit Domains,Editar Domínios
Domain Updated Successfully!,Domínio atualizado com sucesso!
Please enter proper domain value.,Insira o valor de domínio adequado.
Domain name,Nome do domínio
Edit Domain,Editar Domínio
Feature Code,Código de recurso
Feature code removed successfully!,Código de recurso removido com sucesso!
Feature code is already exist in system,O código de recurso já existe no sistema
Pickup Group,Pickup Group
Create Pickup Group,Criar grupo de coleta
Edit Pickup Group,Editar Grupo de Retirada
Pickup group updated successfully!,Grupo de retirada atualizado com sucesso!
Pickup group added successfully!,Grupo de retirada adicionado com sucesso!
Pickup group removed successfully!,Grupo de retirada removido com sucesso!
Feature,Característica
IVR List,Lista IVR
Create IVR,Criar IVR
Edit IVR,Editar IVR
Ivr added successfully!,Ivr adicionado com sucesso!
Ivr updated successfully!,Ivr atualizado com sucesso!
Ivr removed successfully!,Ivr removido com sucesso!
Caller ID Name Prefix,Prefixo do nome do identificador de chamadas
Options,Opções
Advance,Avançar
Add More,Adicione mais
Ring Back,Ring Back
Invalid Retries,Tentativas inválidas
Timeout,Tempo esgotado
Caller ID Number Prefix,Prefixo do número do identificador de chamadas
Invalid Message,Mensagem Inválida
Welcome Greeting,Saudação de boas-vindas
Direct Dial,Ligação direta
Create Queue,Criar fila
Edit Queue,Editar fila
Queue Added Successfully!,Fila adicionada com sucesso!
Queue Updated Successfully!,Fila atualizada com sucesso!
Queue removed successfully!,Fila removida com sucesso!
Agent Dial Number,Número de discagem do agente
Queues,Filas
Queue,Fila
Edit Recording,Editar Gravação
Create Recording,Criar Gravação
Recording Added Successfully!,Gravação adicionada com sucesso!
Recording deleted successfully!,Gravação excluída com sucesso!
Recording Information,Informação de Gravação
to create a recording,para criar uma gravação
Dial,Dial
Ring Group,Grupo de Toque
Ring Group Add,Adicionar grupo de toque
Edit Ring Group,Editar Grupo de Toque
Create Ringgroup,Criar grupo de toque
Ring group added successfully!,Grupo de toque adicionado com sucesso!
Ring group updated successfully!,Grupo de toque atualizado com sucesso!
Ring group deleted successfully!,Grupo de toque excluído com sucesso!
Ring Group Information,Informações do grupo de toque
Do you want create sip devices?,Você quer criar dispositivos SIP?
Sip device Count,Contagem de dispositivos Sip
Next,Próximo
Basic Settings,Configurações básicas
Ring Strategy,Estratégia de Anel
Sequence,Seqüência
Simultaneous,Simultâneo
Delay (Seconds),Atraso (segundos)
Timeout (Seconds),Tempo limite (segundos)
Prompt,Pronto
Announcement,Anúncio
CID Name Prefix,Prefixo do nome CID
CID Number Prefix,Prefixo do número CID
Call Recording,Gravação de Chamadas
Forcefully Enable,Ativar à força
Forcefully Disable,Desativar à força
Skip busy,Pular ocupado
No Answer Call Type,Tipo de chamada sem resposta
Call Routing,Roteamento de Chamadas
Enabled,ativado
Disabled,Desativado
Time Conditions List,Lista de Condições de Tempo
Create Time Conditions,Criar condições de tempo
Edit Time Conditions,Editar Condições de Tempo
Time Conditions Added Successfully!,Condições de tempo adicionadas com sucesso!
Time Conditions Updated Successfully!,Condições de tempo atualizadas com sucesso!
Time Conditions removed successfully!,Condições de tempo removidas com sucesso!
Failover Condition,Condição de failover
Start Hour,Hora de início
Week day,Dia da semana
Month day,Dia do mês
End Hour,Hora Final
Jan,Jan
Feb,Fev
Mar,Mar
Apr,Abr
Jun,Junho
Jul,Jul
Aug,Agosto
Sep,Set
Oct,Out
Nov,Nov
Dec,Dez
Sunday,Domigo
Monday,Segunda-feira
Tuesday,terça
Wednesday,Quarta feira
Thursday,Quinta feira
Friday,Sexta-feira
Saturday,sábado
Extensions Destination,Destino de extensões
Extensions Call Type,Tipo de chamada de extensões
Ignore Busy,Ignorar Ocupado
Do Not Disturb,Não perturbe
Pickup Group List,Lista de Grupo de Retirada
Allow Pickup Group List,Permitir Lista de Grupo de Retirada
Not Registered,Não registrado
Call Waiting,Chamada em espera
On Busy,Ocupado
No Answer,Sem resposta
Destinations,Destinos
Follow Me,Me siga
Conference Profile,Perfil da Conferência
Conference Controls,Controles de conferência
Conference,Conferência
Time Conditions,Condições de Tempo
RingGroup,RingGroup
IVR,IVR
Advance Settings,Configurações avançadas
Agent Back-Tone,Agente Back-Tone
Customer Back-Tone,Back-Tone do cliente
Time Condition,Condição de Tempo
LAST FTP PROCESS,ÚLTIMO PROCESSO FTP
Group Name,Nome do grupo
Ported Number List,Lista de números portados
Import Ported Number,Importar número portado
has been uploaded successfully!,foi carregado com sucesso!
Destination From,Destino de
Destination To,Destino para
Routing Label,Etiqueta de roteamento
Number From,Número de
Participant,Participante
Number To,Número para
File must be in the following format(.gz):,O arquivo deve estar no seguinte formato (.gz):
Create Schedule Report,Criar relatório de programação
Schedule Report,Relatório de programação
Schedule Report added successfully!,Relatório de agendamento adicionado com sucesso!
Schedule Report has been deleted !,O relatório de programação foi excluído!
Email ID,Identificação do email
Filters,Filtros
Unique ID,ID único
Call Start,Call Start
Recurring Type,Tipo Recorrente
Field List,Lista de Campos
Report Description,Descrição do relatório
Are you sure you want to close?,Tem certeza que deseja fechar?
Alarm Name,Nome do Alarme
Alarm Type,Tipo de Alarme
Alarm On,Alarme Ligado
Threshold Value,Valor limiar
Period,Período
Last Triggered Date,Data do Último Acionamento
Create Alarm,Criar Alarme
Ping Type,Tipo de Ping
Freeswitch,Freeswitch
Console,Console
Period (In Seconds),Período (em segundos)
Edit Alarm,Editar Alarme
CIC,CIC
Active Calls,Chamadas Ativas
Call Alarms,Alarmes de chamada
Report,Relatório
Triggered Value,Valor acionado
Period,Período
Alarm Report,Relatório de Alarme
Resolved,Resolvido
Are you sure want to close selected alarm ?,Tem certeza que deseja fechar o alarme selecionado?
Country Report,Relatório do País
Debits,Débitos
ASR : Answer Seizure Ratio,ASR: Taxa de apreensão da resposta
ACD : Average Call Duration,ACD: Duração Média da Chamada
MCD : Maximum Call Duration,MCD: Duração máxima da chamada
Custom Rates,Taxas personalizadas
Create Custom Rate,Criar taxa personalizada
Edit Custom Rate,Editar taxa personalizada
Registered SIP Devices,Dispositivos SIP registrados
Switch Host,Mudar de host
Refresh Time,Tempo de atualização
Sec.,Sec.
Min.,Min.
User,Do utilizador
Contact,Contato
Client-IP,Cliente-IP
Client Port,Porta do cliente
User Agent,Agente de usuário
Registered Gateways,Gateways registrados
Call In,Ligar para
Call Out,Chamar
Fail Call In,Falha na ligação
Fail Call Out,Falha na chamada
State,Estado
Switch CLI,Mudar CLI
Freeswitch CLI,Freeswitch CLI
Live Call Graph,Gráfico de chamadas ao vivo
--Select All--,--Selecionar tudo--
Call Count,Contagem de chamadas
Live Call data,Dados de chamadas ao vivo
SMS Rate Group,Grupo de taxas de SMS
SMS CDRs,CDRs de SMS
Auto Refill,Recarga Automática
Refill Amount,Quantidade de recarga
Occurrence Per Day,Ocorrência por dia
Message From,Mensagem de
Message To,Mensagem para
SMS Type,Tipo de SMS
Profile Name,Nome do perfil
Edit Conference profiles,Editar perfis de conferência
Ring-Group,Grupo de Anel
Failover Destination,Destino de failover
Timeout(min),Tempo limite (min)
Create SMS Rate Group,Criar Grupo de Taxa de SMS
SMS Rate Group Information,Informações do grupo de taxas de SMS
Markup(%),Markup (%)
SMS Origination Rate,Taxa de originação de SMS
Per SMS Cost,Custo por SMS
SMS Trunk add,Adicionar tronco SMS
SMS Trunk Information,Informação de tronco SMS
Trunk Settings,Configurações de tronco
Precedence,Precedência
Trunk Name,Nome do tronco
Edit SMS Trunk,Editar tronco de SMS
Add SMS Termination Rates,Adicionar taxas de rescisão de SMS
Edit SMS Termination Rates,Editar taxas de rescisão de SMS
Import SMS Termination Rates Using Field Mapper,Importe taxas de terminação de SMS usando mapeador de campo
Import SMS Termination Rates,Taxas de rescisão de importação de SMS
SMS Trunk,Tronco de SMS
Create SMS Gateway,Criar gateway de SMS
Base URL,URL base
Api Key / Application Id,Chave API / Id do aplicativo
Secret Key Id,Id da chave secreta
Api Key,Chave API
Based On Utilized Free Minutes,Com base em minutos gratuitos utilizados
Based On Utilized Highest Days/Free Minutes,Com base na maior utilização de dias / minutos livres
ASR : Answer Seizure Ratio,ASR: Taxa de apreensão da resposta
ACD : Average Call Duration,ACD: Duração Média da Chamada
MCD : Maximum Call Duration,MCD: Duração máxima da chamada
Edit SMS Rate Group,Editar Grupo de Taxa de SMS
 (Enterprise),  (Empreendimento)
Edit SMS Gateway,Editar gateway de SMS
Edit Department,Editar Departamento
Edit Support Ticket,Editar tíquete de suporte
SMS Package,Pacote SMS
Free SMS,SMS grátis
auto_reply_mail_support,suporte de resposta automática de e-mail
email_sent_support_ticket,email enviado tíquete de suporte
alarm_report,relatório de alarme
two_factor_authentication,autenticação de dois fatores
schedule_report,relatório de programação
ported_number,número portado
ported_number_ftp_connect,número portado ftp conectar
ported_number_no_file,número portado sem arquivo
fraud_report,relatório de fraude
outbound_fax_mail,correio de fax enviado
fax_receive_mail,fax receber correio
Format,Formato
Fax Method,Método de Fax
SIP Device,Dispositivo SIP
Web2fax,Web2fax
Email2fax,Email2fax
Fax2Mail,Fax2Mail
Success,Sucesso
File,Arquivo
APFaxer,APFaxer
Fax send Retries,Tentativas de envio de fax
Fax Email Id,Id do Email do Fax
Fax Email Password,Fax Email Senha
Fax Server,Servidor de Fax
Fax Server SIP Port,Porta SIP do servidor de fax
Fax Email Host,Fax Email Host
Create Fraud Detection,Criar detecção de fraude
Filter by,Filtrar por
Per Dst. Prefix,Per Dst. Prefixo
Group By Dst. Prefix,Grupo por Dst. Prefixo
Per Country,Por país
Group by Country,Grupo por País
Time Period,Período de tempo
Warning Threshold,Limiar de Aviso
15 minutes,15 minutos
30 minutes,30 minutos
1 Hour,1 hora
3 Hours,3 horas
6 Hours,6 horas
12 Hours,12 horas
24 Hours,24 horas
Warning Action,Ação de Aviso
None,Nenhum
Block Threshold,Limiar de Bloco
Block Action,Ação de bloqueio
 (In Minutes),  (Em minutos)
Time Period,Período de tempo
Edit Fraud Detection,Editar detecção de fraude
Fraud Report,Relatório de Fraude
Fraud Trigger,Fraude Trigger
Alarm Value,Valor de Alarme
warning,Atenção
block,quadra
--Select Account Type--,--Selecione o tipo de conta--
Weekly,Semanal
Quarterly,Trimestral
Yearly,Anual
SMS Reports,Relatórios SMS
SMS Summary,Resumo de SMS
SMS Customer,Cliente SMS
SMS Reseller,Revendedor de SMS
Customer SMS Report,Relatório de SMS do cliente
Message Count,Contagem de mensagens
Resellers SMS Report,Relatório de revendedores de SMS
Customer SMS Summary Report,Relatório de resumo de SMS do cliente
Total Message,Mensagem Total
Send Message,Enviar mensagem
Cancel Message,Cancelar Mensagem
Reseller SMS Summary Report,Relatório resumido de revendedor SMS
Two-factor Authentication,Autenticação de dois fatores
Security,Segurança
Whmcs Secret Key,Chave secreta Whmcs
Whmcs IV Key,Chave Whmcs IV
Two-factor Authentication,Autenticação de dois fatores
Currencies Update,Atualização de moedas
Call Activity Report,Relatório de atividade de chamada
Request A Number Port,Solicitar um número de porta
Porting,Porting
Generate,Gerar
Callerid,Callerid
International Recharge,Recarga Internacional
Feature code updated successfully!,Código de recurso atualizado com sucesso!
Number Porting,Portabilidade de número
Number Porting Requests,Pedidos de portabilidade de número
Request a Number Port,Solicite uma porta de número
Number / Number Range,Número / intervalo numérico
Date Submitted,Data Enviada
Requested Date,Data Solicitada
Requested Time,Tempo Solicitado
Actioned by,Acionado por
Note for Customer,Nota para o cliente
Accepted,Aceitaram
Rejected,Rejeitado
In Progress,Em andamento
Completed,Concluído
Cancelled,Cancelado
Create Porting Request Number,Criar número de solicitação de portabilidade
Porting Request Number,Número de solicitação de portabilidade
Company Address,Endereço da companhia
Individual Number,Número Individual
Start Number,Número inicial
Number Range,Faixa de Números
End Number,Número Final
New Provider Name,Nome do novo provedor
Existing Provider Name,Nome do Provedor Existente
Requested Port Date,Data de porta solicitada
Requested Port Time,Hora do porto solicitada
Upload most recent phone bill,Carregar conta de telefone mais recente
Edit Porting Request,Editar solicitação de portabilidade
Telephone Number,Número de telefone
File Download,Download do arquivo
Accept,Aceitar
Reject,Rejeitar
Edit Porting Request Number,Editar número de solicitação de portabilidade
Retired,Aposentado
porting_request,pedido de portabilidade
Public IP,IP Público
Activity Report,Relatório de atividade
Push Status,Status de push
Last DID Call Date,Data da última chamada DID
Last Outbound Call Date,Data da última chamada realizada
Login Activity,Atividade de login
Last DID Call From Date,Data da última chamada DID
Last DID Call To Date,Última chamada DID até a data
Last Outbound Call From Date,Data da última chamada realizada
Last Outbound Call To Date,Última chamada realizada até a data
Find Time(min),Encontrar tempo (min)
Login Activity Report,Relatório de atividade de login
Assorted,Sortido
Auto Refresh Page,Página de atualização automática
Ticket Digits,Dígitos do tíquete
Recording Number,Número da Gravação
Hybrid Routing,Roteamento Híbrido
Opensips Public Host,Host Público OpenSips
