English,Romanian
Africa/Lagos,Africa / Lagos
America/Managua,America / Managua
Europe/Amsterdam,Europa / Amsterdam
Europe/Oslo,Europa / Oslo
Asia/Kathmandu,Asia / Kathmandu
Pacific/Nauru,Pacific / Nauru
Pacific/Niue,Pacific / Niue
Pacific/Auckland,Pacific / Auckland
Pacific/Chatham,Pacific / Chatham
Asia/Muscat,Asia / Muscat
America/Panama,America / Panama
America/Lima,America / Lima
Pacific/Gambier,Pacific / Gambier
Pacific/Marquesas,Pacific / Marquesas
Pacific/Tahiti,Pacific / Tahiti
Pacific/Bougainville,Pacific / Bougainville
Pacific/Port_Moresby,Pacific / Port_Moresby
Asia/Manila,Asia / Manila
Asia/Karachi,Asia / Karachi
Europe/Warsaw,Europa / Varșovia
America/Miquelon,America / Miquelon
Pacific/Pitcairn,Pacific / Pitcairn
America/Puerto_Rico,America / Puerto_Rico
Asia/Gaza,Asia / Gaza
Asia/Hebron,Asia / Hebron
Atlantic/Azores,Atlantic / Azore
Atlantic/Madeira,Atlantic / Madeira
Europe/Lisbon,Europa / Lisabona
Pacific/Palau,Pacific / Palau
America/Asuncion,America / Asuncion
Asia/Qatar,Asia / Qatar
Indian/Reunion,Indian / Reuniune
Europe/Bucharest,Europa / București
Europe/Belgrade,Europa / Belgrad
Asia/Anadyr,Asia / Anadyr
Asia/Barnaul,Asia / Barnaul
Asia/Chita,Asia / Chita
Asia/Irkutsk,Asia / Irkutsk
Asia/Kamchatka,Asia / Kamchatka
Asia/Khandyga,Asia / Khandyga
Asia/Krasnoyarsk,Asia / Krasnoyarsk
Asia/Magadan,Asia / Magadan
Asia/Novokuznetsk,Asia / Novokuznetsk
Asia/Novosibirsk,Asia / Novosibirsk
Asia/Omsk,Asia / Omsk
Asia/Sakhalin,Asia / Sahalin
Asia/Srednekolymsk,Asia / Srednekolymsk
Asia/Tomsk,Asia / Tomsk
Asia/Ust-Nera,Asia / Ust-Nera
Asia/Vladivostok,Asia / Vladivostok
Asia/Yakutsk,Asia / Iakutsk
Asia/Yekaterinburg,Asia / Ekaterinburg
Europe/Astrakhan,Europa / Astrahan
Europe/Kaliningrad,Europa / Kaliningrad
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Moscova
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgograd
Africa/Kigali,Africa / Kigali
Asia/Riyadh,Asia / Riad
Pacific/Guadalcanal,Pacific / Guadalcanal
Indian/Mahe,Indian / Mahe
Africa/Khartoum,Africa / Khartoum
Europe/Stockholm,Europa / Stockholm
Asia/Singapore,Asia / Singapore
Atlantic/St_Helena,Atlantic / St_Helena
Europe/Ljubljana,Europa / Ljubljana
Arctic/Longyearbyen,Arctic / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,Africa / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,Africa / Dakar
Africa/Mogadishu,Africa / Mogadiscio
America/Paramaribo,America / Paramaribo
Africa/Juba,Africa / Juba
Africa/Sao_Tome,Africa / Sao_Tome
America/El_Salvador,America / El_Salvador
America/Lower_Princes,America / inferioare_princi
Asia/Damascus,Asia / Damasc
Africa/Mbabane,Africa / Mbabane
America/Grand_Turk,America / Grand_Turk
Africa/Ndjamena,Africa / Ndjamena
Indian/Kerguelen,Indian / Kerguelen
Africa/Lome,Africa / Lome
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dușanbe
Pacific/Fakaofo,Pacific / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,Africa / Tunis
Pacific/Tongatapu,Pacific / Tongatapu
Europe/Istanbul,Europa / Istanbul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacific / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,Africa / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporojie
Africa/Kampala,Africa / Kampala
Pacific/Midway,Pacific / Midway
Pacific/Wake,Pacific / Wake
America/Adak,America / Adak
America/Anchorage,America / Ancoraj
America/Boise,America / Boise
America/Chicago,America / Chicago
America/Denver,America / Denver
America/Detroit,America / Detroit
America/Indiana/Indianapolis,America / Indiana / Indianapolis
America/Indiana/Knox,America / Indiana / Knox
America/Indiana/Marengo,America / Indiana / Marengo
America/Indiana/Petersburg,America / Indiana / Petersburg
America/Indiana/Tell_City,America / Indiana / Tell_City
America/Indiana/Vevay,America / Indiana / Vevay
America/Indiana/Vincennes,America / Indiana / Vincennes
America/Indiana/Winamac,America / Indiana / Winamac
America/Juneau,America / Juneau
America/Kentucky/Louisville,America / Kentucky / Louisville
America/Kentucky/Monticello,America / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,America / Menominee
America/Metlakatla,America / Metlakatla
America/New_York,America / New_York
America/Nome,America / Nome
America/North_Dakota/Beulah,America / North_Dakota / Beulah
America/North_Dakota/Center,America / North_Dakota / Center
America/North_Dakota/New_Salem,America / North_Dakota / New_Salem
America/Phoenix,America / Phoenix
America/Sitka,America / Sitka
America/Yakutat,America / Yakutat
Pacific/Honolulu,Pacific / Honolulu
America/Montevideo,America / Montevideo
Asia/Samarkand,Asia / Samarkand
Asia/Tashkent,Asia / Tașkent
Europe/Vatican,Europa / Vatican
America/St_Vincent,America / St_Vincent
America/Caracas,America / Caracas
America/Tortola,America / Tortola
America/St_Thomas,America / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacific / Efate
Pacific/Wallis,Pacific / Wallis
Pacific/Apia,Pacific / Apia
Asia/Aden,Asia / Aden
Indian/Mayotte,Indian / Mayotte
Africa/Johannesburg,Africa / Johannesburg
Africa/Lusaka,Africa / Lusaka
Africa/Harare,Africa / Harare
Company Profile,Profilul Companiei
Opensips Dispatcher,Dispenser de deschidere
account_refilled,cont reumplut
create_account,creează cont
create_sip_device,creați dispozitivul sip
new_invoice,factură nouă
low_balance,echilibru redus
signup_confirmation,confirmarea înscrierii
new_password,Parolă Nouă
forgot_password_confirmation,ați uitat confirmarea parolei
invoice_due_reminder,memento datorat factură
new_archive_table,nou tabel de arhivă
balance_tranfer,transfer de sold
product_purchase,achiziționarea produsului
product_release,lansarea produsului
product_renewal_notice,aviz de reînnoire a produsului
product_renewed,produs reînnoit
product_commission,comision produs
cdrs_archive_table_create_success,tabelul de arhivă cdrs creează succes
cdrs_archive_table_create_fail,tabela arhivă cdrs creează eșuează
reset_password,reseteaza parola
international_low_balance,echilibru internațional scăzut
account_postcharge,taxă postală a contului
ACCOUNT_INACTIVE_DELETED,CONT INACTIV Șters
ACCOUNT_EXPIRE,EXPERIU DE CONT
ALLOTTED_TIMEOUT,TIMEOUT ALOCAT
AUTHENTICATION_FAIL,AUTENTICARE EȘUATĂ
BEARERCAPABILITY_NOTAUTH,NOTAUTĂ PENTRU PUTEREA PUTERII
BEARERCAPABILITY_NOTAVAIL,NOTĂ DISPONIBILĂ PENTRU PUTERE
BEARERCAPABILITY_NOTIMPL,NOTABILITATE PENTRU CARABILITATE
CALL_REJECTED,APEL RESPINS
CHAN_NOT_IMPLEMENTED,CHAN NU ESTE IMPLEMENTAT
CHANNEL_UNACCEPTABLE,CANAL INACCEPTABIL
DESTINATION_OUT_OF_ORDER,DESTINAȚIE FĂRĂ COMANDĂ
DESTINATION_BLOCKED,DESTINAȚIE BLOCATĂ
DID_DESTINATION_NOT_FOUND,DESTINAȚIA NU A FOST GĂSITĂ
FACILITY_REJECTED,FACILITATEA RESPINSĂ
FACILITY_NOT_SUBSCRIBED,FACILITATEA NU SUBSCRISĂ
FACILITY_NOT_IMPLEMENTED,FACILITATEA NU ESTE IMPLEMENTATĂ
FRAUD_CALL_PER_ACCOUNT,APEL DE FRAUDĂ PE CONT
FRAUD_CALL_PER_DESTINATION,APEL DE FRAUDĂ PE DESTINAȚIE
FRAUD_COST_PER_ACCOUNT,COSTUL FRAUDEI PE CONT
FRAUD_COST_PER_DESTINATION,COSTUL FRAUDELOR PE DESTINAȚIE
INVALID_NUMBER_FORMAT,FORMATUL DE NUMĂR NEVALID
INCOMPATIBLE_DESTINATION,DESTINAȚIE INCOMPATIBILĂ
MANAGER_REQUEST,SOLICITARE MANAGER
MEDIA_TIMEOUT,TIMEOUT MEDIA
NO_ROUTE_DESTINATION,FARA DESTINAȚIE RUTĂ
NORMAL_CLEARING,DEPĂRAREA NORMALĂ
NETWORK_OUT_OF_ORDER,RETEA NEFUNCTIONALA
NORMAL_UNSPECIFIED,NORMAL NESPECIFICAT
NORMAL_CIRCUIT_CONGESTION,CONGESTIUNEA CIRCUITULUI NORMAL
NORMAL_TEMPORARY_FAILURE,ECHIPAMENT TEMPORAR NORMAL
NO_SUFFICIENT_FUND,FARA FOND SUFICIENT
NO_USER_RESPONSE,FĂRĂ RĂSPUNS AL UTILIZATORULUI
NO_ANSWER,NICI UN RASPUNS
NUMBER_CHANGED,NUMĂR SCHIMBAT
ORIGINATOR_CANCEL,ANULARE ORIGINATOR
ORIGNATION_RATE_NOT_FOUND,RATA DE ORIGINARE NU A FOST GĂSITĂ
OUTGOING_CALL_BARRED,APEL IEȘITOR BARRAT
PROGRESS_TIMEOUT,TIMP DE PROGRES
RECOVERY_ON_TIMER_EXPIRE,RECUPERARE PE EXPERIUL TIMER
RESELLER_COST_CHEAP,REZERVATOR COST MAI BUN
SERVICE_NOT_IMPLEMENTED,SERVICIUL NU ESTE IMPLEMENTAT
SERVICE_UNAVAILABLE,SERVICIU INDISPONIBIL
SUCCESS,SUCCES
SWITCH_CONGESTION,CONGESTIUNEA COMUTATORULUI
TERMINATION_RATE_NOT_FOUND,RATA DE ÎNCETARE NU A FOST GĂSITĂ
UNSPECIFIED,NESPECIFICAT
UNALLOCATED_NUMBER,NUMĂR NELOCAT
USER_BUSY,UTILIZATOR OCUPAT
USER_NOT_REGISTERED,UTILIZATORUL NU ESTE ÎNREGISTRAT
REQUESTED_CHAN_UNAVAIL,SOLICITAT CHAN NEDISPONDERE
SUBSCRIBER_ABSENT,ABONATUL ABSENT
account_refilled,cont reumplut
create_account,creează cont
create_sip_device,creați dispozitivul sip
new_invoice,factură nouă
low_balance,echilibru redus
signup_confirmation,confirmarea înscrierii
new_password,Parolă Nouă
forgot_password_confirmation,ați uitat confirmarea parolei
invoice_due_reminder,memento datorat factură
new_archive_table,nou tabel de arhivă
balance_tranfer,transfer de sold
product_purchase,achiziționarea produsului
product_release,lansarea produsului
product_renewal_notice,notificare reînnoire produs
product_renewed,produs reînnoit
product_commission,comision produs
cdrs_archive_table_create_success,tabelul de arhivă cdrs creează succes
cdrs_archive_table_create_fail,tabela arhivă cdrs creează eșuează
reset_password,reseteaza parola
international_low_balance,echilibru internațional scăzut
account_postcharge,taxă postală a contului
Caller Id (CLI Match - If not matched then use random allocated Caller Id),"Identificator apelant (potrivire CLI - Dacă nu se potrivește, folosiți ID apelant alocat aleatoriu)"
DID (CLI Match - If not matched then use random allocated DID),"DID (potrivire CLI - Dacă nu se potrivește, utilizați DID alocat aleatoriu)"
ERROR:No Reords found.,EROARE: Nu au fost găsite Reords.
Sub Admin,Subadministrator
Create Account Range For Customer,Creați un interval de cont pentru client
Minimum Account Number,Număr minim de cont
Maximum Account Number,Număr maxim de cont
Create Account Range For Reseller,Creați un interval de cont pentru distribuitor
Create Account Range For Provider,Creați un interval de cont pentru furnizor
International Credits,Credite internaționale
Recharge,REÎNCĂRCĂ
Basic Details,Detalii de bază
International Balance,Sold internațional
InternationalPrefixes,Prefixe internaționale
International Prefixes,Prefixe internaționale
International Credit Limit,Limita de credit internațională
Create Local Number,Creați un număr local
Local Number Import Process,Procesul de import al numărului local
Import Local Number,Importați numărul local
Edit Local Number,Editați numărul local
Mailchimp,Mailchimp
Mailchimp API Key,Cheia API Mailchimp
Mailchimp Audience Id,Codul audienței Mailchimp
Support Tickets,Bilete de asistență
Support Ticket,Bilet de asistență
Create Support Ticket,Creați bilet de asistență
Open New Ticket,Deschideți un bilet nou
Department,Departament
Attach more files,Atașați mai multe fișiere
Reply,Răspuns
Submit,Trimite
High,Înalt
Normal,Normal
Low,Scăzut
Open,Deschis
Answered,Răspuns
Customer-Reply,Răspuns client
On-hold,In asteptare
Progress,Progres
Ticket Number,Număr de bilet
Close Support Ticket,Închideți biletul de asistență
Last Reply,Ultimul răspuns
Ticket No,Biletul nr
--All--,--Toate--
Add Department,Adăugați departament
Department List,Lista departamentelor
SMTP Details,Detalii SMTP
Department Additional Email Address,Adresa de e-mail suplimentară a departamentului
Department User,Utilizator departament
Charge Full Amount,Încărcați suma totală
Based On Utilized Days,Pe baza zilelor utilizate
XML Updated Successfully!,XML actualizat cu succes!
ACL Reload Successfully!,Reîncărcați ACL cu succes!
ACL Management,Managementul ACL
XML,XML
XML is Required!,XML este obligatoriu!
Reload ACL,Reîncărcați ACL
Low Balance,Sold redus
Current Balance,Sold curent
Trunk Statistics,Statistica portbagajului
Create Account Range,Creați gama de conturi
Recharge done successfully!,Reîncărcarea a fost realizată cu succes!
Duplicate Local number found from database,Număr local duplicat găsit din baza de date
Country not valid.,Țara nu este validă.
Duplicate Local number found from import file.,Număr local duplicat găsit din fișierul de import.
Local Number Import Error,Eroare la importul numărului local
Local number updated successfully!,Număr local actualizat cu succes!
Local number added successfully!,Număr local adăugat cu succes!
Local number removed successfully!,Numărul local a fost eliminat cu succes!
Local number forwarding successfully!,Redirecționarea numerelor locale cu succes!
Destination Number,Numarul destinatiei
Destination Name,Numele destinației
Add Local Number,Adăugați un număr local
Added Date,Data adăugării
Support ticket removed successfully!,Biletul de asistență a fost eliminat cu succes!
Support ticket generated successfully!,Bilet de asistență generat cu succes!
Edit Ticket,Editați biletul
Create Department,Creați departament
Department added successfully!,Departamentul a fost adăugat cu succes!
Department removed successfully!,Departamentul a fost eliminat cu succes!
Import Area Code,Importarea codului de zonă
Back to Area Code List,Înapoi la lista codurilor de zonă
Alarm added successfully!,Alarma a fost adăugată cu succes!
Alarm updated successfully!,Alarma actualizată cu succes!
Add Custom Rate,Adăugați o rată personalizată
Custom Rate Updated Successfully!,Tariful personalizat a fost actualizat cu succes!
Custom Rate Added Successfully!,Tarif personalizat adăugat cu succes!
Custom rate removed successfully!,Tariful personalizat a fost eliminat cu succes!
Delete Search Record,Ștergeți înregistrarea de căutare
Add Prefixes,Adăugați prefixe
Register Gateway Information,Înregistrați informații despre gateway
Authentication,Autentificare
Please Enter Valid Key,Vă rugăm să introduceți cheia validă
Alert,Alerta
Remote Check Failed,Verificarea la distanță nu a reușit
MD5 Checksum Verification Failed,Verificarea sumei de verificare MD5 nu a reușit
Gateway ragister fail please try again,"Gateway ragister nu reușește, încercați din nou"
Context,Context
Expires,Expiră
Frequency,Frecvență
Ping Frequency,Frecvența Ping
Fails Call In,Nu reușește să apeleze
Fails Call Out,Nu reușește să apeleze
Opensips Devices,Deschide Dispozitive
Second,Al doilea
Add Auth Email,Adăugați un e-mail de autentificare
Edit Auth Email,Editați e-mailul de autentificare
Add Authemail,Adăugați Authemail
Auth Email updated successfully!,E-mail de autentificare actualizat cu succes!
Auth Email added successfully!,Autentificare de e-mail adăugată cu succes!
Auth Email removed successfully!,Autentificare de e-mail eliminată cu succes!
Auth Email,Autentificare e-mail
Authemail added successfully!,Authemail a fost adăugat cu succes!
Please Enter Authemail value.,Vă rugăm să introduceți valoarea Authemail.
Authemail already Exists.,Authemail există deja.
Authemail removed sucessfully!,Authemail a fost eliminat cu succes!
Auth Email List,Autentificare listă e-mail
Auth Mapping,Aut mapare
Auth,Aut
Authemail,Autemail
Faxer,Faxer
This file not avilable for download!,Acest fișier nu este disponibil pentru descărcare!
Create FAX,Creați FAX
Web2fax removed successfully!,Web2fax eliminat cu succes!
Fax Type,Tipul de fax
Fax Number,Numar de fax
Fax Format,Format Fax
Fax Sent,Fax trimis
Send Date,Trimiteți data
Files with format are allowed: .pdf,Sunt permise fișierele cu format: .pdf
Send Fax,Trimiteți fax
Receive,A primi
Error,Eroare
Conference List,Lista conferințelor
Edit Conference,Editați conferința
Create Conference,Creați conferința
Conference Added Successfully!,Conferința a fost adăugată cu succes!
Conference Updated Successfully!,Conferința a fost actualizată cu succes!
Conference removed successfully!,Conferința a fost eliminată cu succes!
Conference profiles,Profilurile conferinței
Create Conference profiles,Creați profiluri de conferință
Edit Conference Profile,Editați profilul conferinței
Conference Setting Added Successfully!,Configurarea conferinței a fost adăugată cu succes!
Conference Setting Updated Successfully!,Configurarea conferinței a fost actualizată cu succes!
Conference Profile Removed Successfully!,Profilul conferinței a fost eliminat cu succes!
Conference Profiles Added Successfully!,Profilurile conferinței au fost adăugate cu succes!
Conference Profiles Updated Successfully!,Profilurile conferinței au fost actualizate cu succes!
Conference profiles removed successfully!,Profilurile conferinței au fost eliminate!
Conference controls List,Lista controalelor conferinței
Edit Conference controls,Editați comenzile conferinței
Conference Controls Removed Successfully!,Comenzile conferinței au fost eliminate!
Conference Controls Added Successfully!,Controalele de conferință au fost adăugate cu succes!
Conference Controls Updated Successfully!,Controalele de conferință au fost actualizate cu succes!
Pin Number,Numarul pin
Duration (Second),Durata (a doua)
Greeting,Salut
Create Conference Controls,Creați controale de conferință
Controls Name,Numele comenzilor
Data,Date
Domains,Domenii
Edit Domains,Editați domeniile
Domain Updated Successfully!,Domeniul actualizat cu succes!
Please enter proper domain value.,Vă rugăm să introduceți valoarea corectă a domeniului.
Domain name,Numele domeniului
Edit Domain,Editați domeniul
Feature Code,Codul funcției
Feature code removed successfully!,Codul funcțional a fost eliminat cu succes!
Feature code is already exist in system,Codul funcțional există deja în sistem
Pickup Group,Grup de preluare
Create Pickup Group,Creați un grup de preluare
Edit Pickup Group,Editați grupul de preluare
Pickup group updated successfully!,Grupul de preluare a fost actualizat cu succes!
Pickup group added successfully!,Grupul de preluare a fost adăugat cu succes!
Pickup group removed successfully!,Grupul de preluare a fost eliminat cu succes!
Feature,Caracteristică
IVR List,Lista IVR
Create IVR,Creați IVR
Edit IVR,Editați IVR
Ivr added successfully!,Ivr a adăugat cu succes!
Ivr updated successfully!,Ivr a fost actualizat cu succes!
Ivr removed successfully!,Ivr eliminat cu succes!
Caller ID Name Prefix,Prefix numele apelantului
Options,Opțiuni
Advance,Avans
Add More,Adăuga mai multe
Ring Back,Suna inapoi
Invalid Retries,Reîncercări nevalide
Timeout,Pauză
Caller ID Number Prefix,Prefixul numărului de identificare a apelantului
Invalid Message,Mesaj nevalid
Welcome Greeting,Salut de bun venit
Direct Dial,Apelare directa
Create Queue,Creați coadă
Edit Queue,Editați coada
Queue Added Successfully!,Coada a fost adăugată cu succes!
Queue Updated Successfully!,Coada actualizată cu succes!
Queue removed successfully!,Coada a fost eliminată cu succes!
Agent Dial Number,Număr de apelare a agentului
Queues,Cozi
Queue,Coadă
Edit Recording,Editați înregistrarea
Create Recording,Creați înregistrare
Recording Added Successfully!,Înregistrarea a fost adăugată cu succes!
Recording deleted successfully!,Înregistrarea a fost ștearsă cu succes!
Recording Information,Înregistrarea informațiilor
to create a recording,pentru a crea o înregistrare
Dial,Formați
Ring Group,Ring Group
Ring Group Add,Adăugare grup de inele
Edit Ring Group,Editați grupul de apeluri
Create Ringgroup,Creați Ringgroup
Ring group added successfully!,Grupul de apeluri a fost adăugat cu succes!
Ring group updated successfully!,Grupul de apeluri a fost actualizat cu succes!
Ring group deleted successfully!,Grupul de apeluri a fost șters cu succes!
Ring Group Information,Informații despre grupul de apeluri
Do you want create sip devices?,Doriți să creați dispozitive SIP?
Sip device Count,Număr dispozitiv SIP
Next,Următorul
Basic Settings,Setări de bază
Ring Strategy,Strategia Ring
Sequence,Secvenţă
Simultaneous,Simultan
Delay (Seconds),Întârziere (secunde)
Timeout (Seconds),Timeout (secunde)
Prompt,Prompt
Announcement,Anunţ
CID Name Prefix,Prefixul numelui CID
CID Number Prefix,Prefixul numărului CID
Call Recording,Înregistrarea apelurilor
Forcefully Enable,Activați cu forță
Forcefully Disable,Dezactivează forțat
Skip busy,Săriți ocupat
No Answer Call Type,Tip de apel fără răspuns
Call Routing,Rutare apel
Enabled,Activat
Disabled,Dezactivat
Time Conditions List,Lista condițiilor de timp
Create Time Conditions,Creați condiții de timp
Edit Time Conditions,Editați condițiile de timp
Time Conditions Added Successfully!,Condiții de timp adăugate cu succes!
Time Conditions Updated Successfully!,Condițiile de timp actualizate cu succes!
Time Conditions removed successfully!,Condițiile de timp au fost eliminate cu succes!
Failover Condition,Stare Failover
Start Hour,Ora de început
Week day,Ziua săptămânii
Month day,Lună zi
End Hour,Ora de sfârșit
Jan,Ian
Feb,Februarie
Mar,Mar
Apr,Aprilie
Jun,Iunie
Jul,Iul
Aug,Aug
Sep,Sept
Oct,Oct
Nov,Noiembrie
Dec,Dec
Sunday,duminică
Monday,luni
Tuesday,marţi
Wednesday,miercuri
Thursday,joi
Friday,vineri
Saturday,sâmbătă
Extensions Destination,Destinația extensiilor
Extensions Call Type,Tip de apel pentru extensii
Ignore Busy,Ignorați ocupat
Do Not Disturb,Nu deranjați
Pickup Group List,Lista grupurilor de preluare
Allow Pickup Group List,Permiteți lista grupurilor de preluare
Not Registered,Neînregistrat
Call Waiting,Apel în așteptare
On Busy,Pe Ocupat
No Answer,Nici un raspuns
Destinations,Destinații
Follow Me,Urmați-mă
Conference Profile,Profilul conferinței
Conference Controls,Controale de conferință
Conference,Conferinţă
Time Conditions,Condiții de timp
RingGroup,RingGroup
IVR,IVR
Advance Settings,Setări avansate
Agent Back-Tone,Tonul de fundal al agentului
Customer Back-Tone,Ton de fundal al clientului
Time Condition,Condiția de timp
LAST FTP PROCESS,ULTIMUL PROCES FTP
Group Name,Numele Grupului
Ported Number List,Lista numerelor portate
Import Ported Number,Importați numărul portat
has been uploaded successfully!,a fost încărcat cu succes!
Destination From,Destinație de la
Destination To,Destinație către
Routing Label,Etichetă de rutare
Number From,Număr de la
Participant,Participant
Number To,Număr la
File must be in the following format(.gz):,Fișierul trebuie să aibă următorul format (.gz):
Create Schedule Report,Creați un raport de programare
Schedule Report,Raport de programare
Schedule Report added successfully!,Programarea raportului a fost adăugată cu succes!
Schedule Report has been deleted !,Programarea raportului a fost ștearsă!
Email ID,ID de e-mail
Filters,Filtre
Unique ID,ID unic
Call Start,Apelați Start
Recurring Type,Tip recurent
Field List,Lista câmpurilor
Report Description,Descrierea raportului
Are you sure you want to close?,Sigur vrei să închizi?
Alarm Name,Nume alarmă
Alarm Type,Tip alarmă
Alarm On,Alarmă activată
Threshold Value,Valoarea pragului
Period,Perioadă
Last Triggered Date,Ultima dată declanșată
Create Alarm,Creați alarmă
Ping Type,Tip Ping
Freeswitch,Freeswitch
Console,Consolă
Period (In Seconds),Perioada (în secunde)
Edit Alarm,Editați alarma
CIC,CIC
Active Calls,Apeluri active
Call Alarms,Alarme de apel
Report,Raport
Triggered Value,Valoare declanșată
Period,Perioadă
Alarm Report,Raport de alarmă
Resolved,S-a rezolvat
Are you sure want to close selected alarm ?,Sigur doriți să închideți alarma selectată?
Country Report,Raport de țară
Debits,Debite
ASR : Answer Seizure Ratio,ASR: Răspunsul Raport de sechestru
ACD : Average Call Duration,ACD: Durata medie a apelului
MCD : Maximum Call Duration,MCD: Durata maximă a apelului
Custom Rates,Tarife personalizate
Create Custom Rate,Creați o rată personalizată
Edit Custom Rate,Editați rata personalizată
Registered SIP Devices,Dispozitive SIP înregistrate
Switch Host,Schimbați gazda
Refresh Time,Timp de reîmprospătare
Sec.,Sec.
Min.,Min.
User,Utilizator
Contact,a lua legatura
Client-IP,Client-IP
Client Port,Port client
User Agent,Agent utilizator
Registered Gateways,Gateway-uri înregistrate
Call In,Sună
Call Out,Strigă
Fail Call In,Apelare nereușită
Fail Call Out,Apelare nereușită
State,Stat
Switch CLI,Comutați CLI
Freeswitch CLI,CLI Freeswitch
Live Call Graph,Grafic apel live
--Select All--,--Selectează tot--
Call Count,Număr de apeluri
Live Call data,Date despre apeluri live
SMS Rate Group,Grupul SMS Rate
SMS CDRs,SMS CDR-uri
Auto Refill,Reumplere automată
Refill Amount,Suma de reumplere
Occurrence Per Day,Apariție pe zi
Message From,Mesaj de la
Message To,Mesaj către
SMS Type,Tip SMS
Profile Name,Numele profilului
Edit Conference profiles,Editați profilurile conferinței
Ring-Group,Ring-Group
Failover Destination,Destinație de basculare
Timeout(min),Timeout (min)
Create SMS Rate Group,Creați un grup SMS Rate
SMS Rate Group Information,Informații despre grupul de tarif SMS
Markup(%),Marcare (%)
SMS Origination Rate,Rata de inițiere a SMS-urilor
Per SMS Cost,Cost pe SMS
SMS Trunk add,Adăugare trunchi SMS
SMS Trunk Information,Informații despre portbagaj SMS
Trunk Settings,Setări portbagaj
Precedence,Precedenta
Trunk Name,Numele portbagajului
Edit SMS Trunk,Editați portbagajul SMS
Add SMS Termination Rates,Adăugați tarife de reziliere SMS
Edit SMS Termination Rates,Editați tarifele de reziliere SMS
Import SMS Termination Rates Using Field Mapper,Importați tarifele de reziliere SMS folosind Field Mapper
Import SMS Termination Rates,Importați tarifele de reziliere SMS
SMS Trunk,Trunchiul SMS
Create SMS Gateway,Creați SMS Gateway
Base URL,Adresa URL de bază
Api Key / Application Id,Api Key / ID aplicație
Secret Key Id,Id-cheie secretă
Api Key,Api Key
Based On Utilized Free Minutes,Pe baza minutelor gratuite utilizate
Based On Utilized Highest Days/Free Minutes,Pe baza celor mai mari zile / minute gratuite utilizate
ASR : Answer Seizure Ratio,ASR: Răspunsul Raport de sechestru
ACD : Average Call Duration,ACD: Durata medie a apelului
MCD : Maximum Call Duration,MCD: Durata maximă a apelului
Edit SMS Rate Group,Editați grupul SMS Rate
 (Enterprise),  (Afacere)
Edit SMS Gateway,Editați SMS Gateway
Edit Department,Editați departamentul
Edit Support Ticket,Editați biletul de asistență
SMS Package,Pachet SMS
Free SMS,SMS gratuit
auto_reply_mail_support,asistență de e-mail de răspuns automat
email_sent_support_ticket,e-mail trimis bilet de asistență
alarm_report,raport de alarmă
two_factor_authentication,autentificare cu doi factori
schedule_report,raport de programare
ported_number,numărul portat
ported_number_ftp_connect,număr portat ftp conectare
ported_number_no_file,număr portat fără fișier
fraud_report,raport de fraudă
outbound_fax_mail,mesaje fax de ieșire
fax_receive_mail,fax primiți e-mail
Format,Format
Fax Method,Metoda de fax
SIP Device,Dispozitiv SIP
Web2fax,Web2fax
Email2fax,Email2fax
Fax2Mail,Fax2Mail
Success,Succes
File,Fişier
APFaxer,APFaxer
Fax send Retries,Trimite prin fax Reîncercări
Fax Email Id,Cod e-mail fax
Fax Email Password,Parola de e-mail prin fax
Fax Server,Server de fax
Fax Server SIP Port,Portul SIP al serverului de fax
Fax Email Host,Trimiteți prin e-mail gazdă
Create Fraud Detection,Creați detectarea fraudelor
Filter by,Filtreaza dupa
Per Dst. Prefix,Per Dst. Prefix
Group By Dst. Prefix,Grupați după Dst. Prefix
Per Country,Pe țară
Group by Country,Grup pe țări
Time Period,Perioada de timp
Warning Threshold,Prag de avertizare
15 minutes,15 minute
30 minutes,30 minute
1 Hour,1 oră
3 Hours,3 ore
6 Hours,6 ore
12 Hours,12 ore
24 Hours,24 de ore
Warning Action,Acțiune de avertizare
None,Nici unul
Block Threshold,Prag bloc
Block Action,Blocați acțiunea
 (In Minutes),  (În minute)
Time Period,Perioada de timp
Edit Fraud Detection,Editați detectarea fraudei
Fraud Report,Raport de fraudă
Fraud Trigger,Declanșator de fraudă
Alarm Value,Valoarea alarmei
warning,avertizare
block,bloc
--Select Account Type--,- Selectați tipul de cont--
Weekly,Săptămânal
