English,Spanish
Atlantic/Madeira,Atlántico / Madeira
Europe/Lisbon,Europa / Lisboa
Pacific/Palau,Pacífico / Palau
America/Asuncion,América / Asunción
Asia/Qatar,Asia / Qatar
Indian/Reunion,India / Reunión
Europe/Bucharest,Europa / Bucarest
Europe/Belgrade,Europa / Belgrado
Asia/Anadyr,Asia / Anadyr
Asia/Barnaul,Asia / Barnaul
Asia/Chita,Asia / Chita
Asia/Irkutsk,Asia / Irkutsk
Asia/Kamchatka,Asia / Kamchatka
Asia/Khandyga,Asia / Khandyga
Asia/Krasnoyarsk,Asia / Krasnoyarsk
Asia/Magadan,Asia / Magadán
Asia/Novokuznetsk,Asia / Novokuznetsk
Asia/Novosibirsk,Asia / Novosibirsk
Asia/Omsk,Asia / Omsk
Asia/Sakhalin,Asia / Sajalín
Asia/Srednekolymsk,Asia / Srednekolymsk
Asia/Tomsk,Asia / Tomsk
Asia/Ust-Nera,Asia / Ust-Nera
Asia/Vladivostok,Asia / Vladivostok
Asia/Yakutsk,Asia / Yakutsk
Asia/Yekaterinburg,Asia / Ekaterimburgo
Europe/Astrakhan,Europa / Astracán
Europe/Kaliningrad,Europa / Kaliningrado
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Moscú
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgogrado
Africa/Kigali,África / Kigali
Asia/Riyadh,Asia / Riad
Pacific/Guadalcanal,Pacífico / Guadalcanal
Indian/Mahe,Indio / mahe
Africa/Khartoum,África / Jartum
Europe/Stockholm,Europa / Estocolmo
Asia/Singapore,Asia / Singapur
Atlantic/St_Helena,Atlántico / St_Helena
Europe/Ljubljana,Europa / Ljubljana
Arctic/Longyearbyen,Ártico / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,África / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,África / Dakar
Africa/Mogadishu,África / Mogadiscio
America/Paramaribo,América / Paramaribo
Africa/Juba,África / Juba
Africa/Sao_Tome,África / Sao_Tome
America/El_Salvador,América / El_Salvador
America/Lower_Princes,America / Lower_Princes
Asia/Damascus,Asia / Damasco
Africa/Mbabane,África / Mbabane
America/Grand_Turk,América / Grand_Turk
Africa/Ndjamena,África / Ndjamena
Indian/Kerguelen,Indio / Kerguelen
Africa/Lome,África / Lomé
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dushanbe
Pacific/Fakaofo,Pacífico / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,África / Túnez
Pacific/Tongatapu,Pacífico / Tongatapu
Europe/Istanbul,Europa / Estambul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacífico / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,África / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporozhye
Africa/Kampala,África / Kampala
Pacific/Midway,Pacífico / Midway
Pacific/Wake,Pacífico / Wake
America/Adak,América / Adak
America/Anchorage,América / Anchorage
America/Boise,América / Boise
America/Chicago,América / Chicago
America/Denver,América / Denver
America/Detroit,América / Detroit
America/Indiana/Indianapolis,América / Indiana / Indianápolis
America/Indiana/Knox,América / Indiana / Knox
America/Indiana/Marengo,América / Indiana / Marengo
America/Indiana/Petersburg,América / Indiana / Petersburgo
America/Indiana/Tell_City,América / Indiana / Tell_City
America/Indiana/Vevay,América / Indiana / Vevay
America/Indiana/Vincennes,América / Indiana / Vincennes
America/Indiana/Winamac,América / Indiana / Winamac
America/Juneau,América / Juneau
America/Kentucky/Louisville,América / Kentucky / Louisville
America/Kentucky/Monticello,América / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,América / Menominee
America/Metlakatla,América / Metlakatla
America/New_York,America / New_York
America/Nome,América / Nome
America/North_Dakota/Beulah,América / North_Dakota / Beulah
America/North_Dakota/Center,América / North_Dakota / Center
America/North_Dakota/New_Salem,América / North_Dakota / New_Salem
America/Phoenix,América / Phoenix
America/Sitka,América / Sitka
America/Yakutat,América / Yakutat
Pacific/Honolulu,Pacífico / Honolulu
America/Montevideo,América / Montevideo
Asia/Samarkand,Asia / Samarcanda
Asia/Tashkent,Asia / Tashkent
Europe/Vatican,Europa / Vaticano
America/St_Vincent,América / St_Vincent
America/Caracas,América / Caracas
America/Tortola,América / Tortola
America/St_Thomas,América / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacífico / Efate
Pacific/Wallis,Pacífico / Wallis
Pacific/Apia,Pacífico / Apia
Asia/Aden,Asia / Adén
Indian/Mayotte,India / Mayotte
Africa/Johannesburg,África / Johannesburgo
Africa/Lusaka,África / Lusaka
Africa/Harare,África / Harare
Company Profile,Perfil de la compañía
Opensips Dispatcher,Despachador de OpenSips
account_refilled,cuenta recargada
create_account,crear una cuenta
create_sip_device,crear dispositivo de sorbo
new_invoice,nueva factura
low_balance,saldo bajo
signup_confirmation,confirmación de registro
new_password,nueva contraseña
forgot_password_confirmation,confirmación de contraseña olvidada
invoice_due_reminder,recordatorio de factura vencida
new_archive_table,nueva tabla de archivo
balance_tranfer,transferencia de saldo
product_purchase,compra de producto
product_release,lanzamiento del producto
product_renewal_notice,aviso de renovación de producto
product_renewed,producto renovado
product_commission,comisión de producto
cdrs_archive_table_create_success,tabla de archivo cdrs crear éxito
cdrs_archive_table_create_fail,Error de creación de tabla de archivo cdrs
reset_password,restablecer la contraseña
international_low_balance,saldo bajo internacional
account_postcharge,cargo posterior a la cuenta
ACCOUNT_INACTIVE_DELETED,CUENTA INACTIVA BORRADA
ACCOUNT_EXPIRE,CUENTA EXPIRA
ALLOTTED_TIMEOUT,TIEMPO DE MUERTE ASIGNADO
AUTHENTICATION_FAIL,FALLO DE AUTENTICACIÓN
BEARERCAPABILITY_NOTAUTH,CARACTERÍSTICAS DE RODAMIENTO
BEARERCAPABILITY_NOTAVAIL,OPORTUNIDAD DE RODAJE NOTAVAIL
BEARERCAPABILITY_NOTIMPL,NOTIMPL DE CAPACIDAD DE CARGA
CALL_REJECTED,LLAMADA RECHAZADA
CHAN_NOT_IMPLEMENTED,CHAN NO IMPLEMENTADO
CHANNEL_UNACCEPTABLE,CANAL INACEPTABLE
DESTINATION_OUT_OF_ORDER,DESTINO FUERA DE ORDEN
DESTINATION_BLOCKED,DESTINO BLOQUEADO
DID_DESTINATION_NOT_FOUND,DESTINO NO ENCONTRADO
FACILITY_REJECTED,INSTALACIÓN RECHAZADA
FACILITY_NOT_SUBSCRIBED,INSTALACIONES NO SUSCRITAS
FACILITY_NOT_IMPLEMENTED,INSTALACIÓN NO APLICADA
FRAUD_CALL_PER_ACCOUNT,LLAMADA FRAUDE POR CUENTA
FRAUD_CALL_PER_DESTINATION,LLAMADA FRAUDE POR DESTINO
FRAUD_COST_PER_ACCOUNT,COSTO DE FRAUDE POR CUENTA
FRAUD_COST_PER_DESTINATION,COSTO DE FRAUDE POR DESTINO
INVALID_NUMBER_FORMAT,FORMATO DE NÚMERO NO VÁLIDO
INCOMPATIBLE_DESTINATION,DESTINO INCOMPATIBLE
MANAGER_REQUEST,SOLICITUD DEL GERENTE
MEDIA_TIMEOUT,TIEMPO EXPEDIDO DE MEDIOS
NO_ROUTE_DESTINATION,SIN DESTINO DE RUTA
NORMAL_CLEARING,LIMPIEZA NORMAL
NETWORK_OUT_OF_ORDER,RED FUERA DE SERVICIO
NORMAL_UNSPECIFIED,NORMAL NO ESPECIFICADO
NORMAL_CIRCUIT_CONGESTION,CONGESTIÓN NORMAL DEL CIRCUITO
NORMAL_TEMPORARY_FAILURE,FALLO TEMPORAL NORMAL
NO_SUFFICIENT_FUND,SIN FONDO SUFICIENTE
NO_USER_RESPONSE,SIN RESPUESTA DEL USUARIO
NO_ANSWER,SIN RESPUESTA
NUMBER_CHANGED,NÚMERO CAMBIADO
ORIGINATOR_CANCEL,CANCELAR ORIGINADOR
ORIGNATION_RATE_NOT_FOUND,TARIFA DE ORIGNACIÓN NO ENCONTRADA
OUTGOING_CALL_BARRED,LLAMADA SALIENTE BARRED
PROGRESS_TIMEOUT,PROGRESS TIMEOUT
RECOVERY_ON_TIMER_EXPIRE,RECUPERACIÓN EN TEMPORIZADOR EXPIRE
RESELLER_COST_CHEAP,COSTO DE DISTRIBUIDOR BARATO
SERVICE_NOT_IMPLEMENTED,SERVICIO NO IMPLEMENTADO
SERVICE_UNAVAILABLE,SERVICIO NO DISPONIBLE
SUCCESS,ÉXITO
SWITCH_CONGESTION,INTERRUPTOR DE CONGESTIÓN
TERMINATION_RATE_NOT_FOUND,TASA DE TERMINACIÓN NO ENCONTRADA
UNSPECIFIED,SIN ESPECIFICAR
UNALLOCATED_NUMBER,NÚMERO NO ASIGNADO
USER_BUSY,USUARIO OCUPADO
USER_NOT_REGISTERED,USUARIO NO REGISTRADO
REQUESTED_CHAN_UNAVAIL,CHAN SOLICITADO NO DISPONIBLE
SUBSCRIBER_ABSENT,SUSCRIPTOR AUSENTE
account_refilled,cuenta recargada
create_account,crear una cuenta
create_sip_device,crear dispositivo de sorbo
new_invoice,nueva factura
low_balance,saldo bajo
signup_confirmation,confirmación de registro
new_password,nueva contraseña
forgot_password_confirmation,confirmación de contraseña olvidada
invoice_due_reminder,recordatorio de factura vencida
new_archive_table,nueva tabla de archivo
balance_tranfer,transferencia de saldo
product_purchase,compra de producto
product_release,lanzamiento del producto
product_renewal_notice,aviso de renovación de producto
product_renewed,producto renovado
product_commission,comisión de producto
cdrs_archive_table_create_success,tabla de archivo cdrs crear éxito
cdrs_archive_table_create_fail,Error de creación de tabla de archivo cdrs
reset_password,restablecer la contraseña
international_low_balance,saldo bajo internacional
account_postcharge,cargo posterior a la cuenta
Caller Id (CLI Match - If not matched then use random allocated Caller Id),"Identificador de llamadas (CLI Match: si no coincide, utilice el identificador de llamadas asignado al azar)"
DID (CLI Match - If not matched then use random allocated DID),"DID (CLI Match: si no coincide, utilice DID asignado al azar)"
ERROR:No Reords found.,ERROR: No se encontraron registros.
Sub Admin,Subadministrador
Create Account Range For Customer,Crear rango de cuenta para cliente
Minimum Account Number,Número de cuenta mínimo
Maximum Account Number,Número máximo de cuenta
Create Account Range For Reseller,Crear rango de cuenta para revendedor
Create Account Range For Provider,Crear rango de cuenta para proveedor
International Credits,Créditos internacionales
Recharge,Recargar
Basic Details,Detalles básicos
International Balance,Balance internacional
InternationalPrefixes,Prefijos internacionales
International Prefixes,Prefijos internacionales
International Credit Limit,Límite de crédito internacional
Create Local Number,Crear número local
Local Number Import Process,Proceso de importación de números locales
Import Local Number,Importar número local
Edit Local Number,Editar número local
Mailchimp,Mailchimp
Mailchimp API Key,Clave de API de Mailchimp
Mailchimp Audience Id,ID de audiencia de Mailchimp
Support Tickets,Tickets de soporte
Support Ticket,Ticket de soporte
Create Support Ticket,Crear ticket de soporte
Open New Ticket,Abrir nuevo ticket
Department,Departamento
Attach more files,Adjuntar más archivos
Reply,Respuesta
Submit,Enviar
High,Alto
Normal,Normal
Low,Bajo
Open,Abierto
Answered,Contestadas
Customer-Reply,Respuesta del cliente
On-hold,En espera
Progress,Progreso
Ticket Number,Numero de ticket
Close Support Ticket,Cerrar ticket de soporte
Last Reply,Última respuesta
Ticket No,Ticket No
--All--,--Todos--
Add Department,Agregar departamento
Department List,Lista de departamentos
SMTP Details,Detalles de SMTP
Department Additional Email Address,Dirección de correo electrónico adicional del departamento
Department User,Usuario del departamento
Charge Full Amount,Cargar el monto total
Based On Utilized Days,Basado en días utilizados
XML Updated Successfully!,XML actualizado correctamente.
ACL Reload Successfully!,¡Recarga de ACL con éxito!
ACL Management,Gestión de ACL
XML,XML
XML is Required!,¡Se requiere XML!
Reload ACL,Recargar ACL
Low Balance,Balance bajo
Current Balance,Saldo actual
Trunk Statistics,Estadísticas de troncales
Create Account Range,Crear rango de cuenta
Recharge done successfully!,¡Recarga realizada con éxito!
Duplicate Local number found from database,Número local duplicado encontrado en la base de datos
Country not valid.,País no válido.
Duplicate Local number found from import file.,Número local duplicado encontrado en el archivo de importación.
Local Number Import Error,Error de importación de número local
Local number updated successfully!,¡Número local actualizado correctamente!
Local number added successfully!,¡Número local agregado correctamente!
Local number removed successfully!,¡Número local eliminado correctamente!
Local number forwarding successfully!,¡Reenvío de números locales con éxito!
Destination Number,Número de destino
Destination Name,Nombre del destino
Add Local Number,Agregar número local
Added Date,Fecha agregada
Support ticket removed successfully!,¡Ticket de soporte eliminado con éxito!
Support ticket generated successfully!,¡Ticket de soporte generado con éxito!
Edit Ticket,Editar ticket
Create Department,Crear departamento
Department added successfully!,¡Departamento agregado exitosamente!
Department removed successfully!,¡Departamento eliminado correctamente!
Import Area Code,Importar código de área
Back to Area Code List,Volver a la lista de códigos de área
Alarm added successfully!,¡Alarma agregada con éxito!
Alarm updated successfully!,¡Alarma actualizada correctamente!
Add Custom Rate,Agregar tarifa personalizada
Custom Rate Updated Successfully!,¡Tarifa personalizada actualizada con éxito!
Custom Rate Added Successfully!,¡Tarifa personalizada agregada con éxito!
Custom rate removed successfully!,¡La tarifa personalizada se eliminó correctamente!
Delete Search Record,Eliminar registro de búsqueda
Add Prefixes,Agregar prefijos
Register Gateway Information,Registrar información de puerta de enlace
Authentication,Autenticación
Please Enter Valid Key,Ingrese una clave válida
Alert,Alerta
Remote Check Failed,Comprobación remota fallida
MD5 Checksum Verification Failed,Verificación de suma de comprobación MD5 fallida
Gateway ragister fail please try again,"Gateway ragister fail, inténtalo de nuevo"
Context,Contexto
Expires,Expira
Frequency,Frecuencia
Ping Frequency,Frecuencia de ping
Fails Call In,No llama
Fails Call Out,No llama
Opensips Devices,Dispositivos Opensips
Second,Segundo
Add Auth Email,Agregar correo electrónico de autenticación
Edit Auth Email,Editar correo electrónico de autenticación
Add Authemail,Agregar Authemail
Auth Email updated successfully!,Auth Email actualizado correctamente!
Auth Email added successfully!,Auth Email agregado correctamente!
Auth Email removed successfully!,Auth Email eliminado correctamente!
Auth Email,Correo electrónico de autenticación
Authemail added successfully!,¡Authemail se agregó correctamente!
Please Enter Authemail value.,Ingrese el valor de Authemail.
Authemail already Exists.,Authemail ya existe.
Authemail removed sucessfully!,Authemail eliminado con éxito!
Auth Email List,Lista de correo electrónico de autenticación
Auth Mapping,Asignación de autenticación
Auth,Auth
Authemail,Authemail
Faxer,Faxer
This file not avilable for download!,¡Este archivo no está disponible para descargar!
Create FAX,Crear FAX
Web2fax removed successfully!,Web2fax eliminado con éxito!
Fax Type,Tipo de fax
Fax Number,Número de fax
Fax Format,Formato de fax
Fax Sent,Fax enviado
Send Date,Fecha de envio
Files with format are allowed: .pdf,Se permiten archivos con formato: .pdf
Send Fax,Enviar fax
Receive,Recibir
Error,Error
Conference List,Lista de conferencias
Edit Conference,Editar conferencia
Create Conference,Crear conferencia
Conference Added Successfully!,¡Conferencia agregada con éxito!
Conference Updated Successfully!,¡Conferencia actualizada con éxito!
Conference removed successfully!,¡Conferencia eliminada con éxito!
Conference profiles,Perfiles de conferencias
Create Conference profiles,Crear perfiles de conferencia
Edit Conference Profile,Editar perfil de conferencia
Conference Setting Added Successfully!,¡Configuración de conferencia agregada con éxito!
Conference Setting Updated Successfully!,¡Configuración de conferencia actualizada con éxito!
Conference Profile Removed Successfully!,¡Perfil de la conferencia eliminado con éxito!
Conference Profiles Added Successfully!,¡Perfiles de conferencias agregados con éxito!
Conference Profiles Updated Successfully!,¡Perfiles de conferencias actualizados con éxito!
Conference profiles removed successfully!,Los perfiles de la conferencia se eliminaron correctamente.
Conference controls List,Lista de controles de conferencia
Edit Conference controls,Editar controles de conferencia
Conference Controls Removed Successfully!,¡Controles de conferencia eliminados con éxito!
Conference Controls Added Successfully!,¡Controles de conferencia agregados con éxito!
Conference Controls Updated Successfully!,¡Controles de conferencia actualizados con éxito!
Pin Number,Número de PIN
Duration (Second),Duración (segundo)
Greeting,Saludo
Create Conference Controls,Crear controles de conferencia
Controls Name,Nombre de controles
Data,Datos
Domains,Dominios
Edit Domains,Editar dominios
Domain Updated Successfully!,¡Dominio actualizado correctamente!
Please enter proper domain value.,Ingrese el valor de dominio adecuado.
Domain name,Nombre de dominio
Edit Domain,Editar dominio
Feature Code,Código de función
Feature code removed successfully!,¡Código de función eliminado correctamente!
Feature code is already exist in system,El código de función ya existe en el sistema
Pickup Group,Grupo de recogida
Create Pickup Group,Crear grupo de recogida
Edit Pickup Group,Editar grupo de recogida
Pickup group updated successfully!,¡Grupo de recogida actualizado correctamente!
Pickup group added successfully!,¡El grupo de recogida se agregó correctamente!
Pickup group removed successfully!,¡Grupo de recogida eliminado correctamente!
Feature,Característica
IVR List,Lista de IVR
Create IVR,Crear IVR
Edit IVR,Editar IVR
Ivr added successfully!,Ivr agregado con éxito!
Ivr updated successfully!,Ivr actualizado con éxito!
Ivr removed successfully!,¡Ivr eliminado con éxito!
Caller ID Name Prefix,Prefijo del nombre del identificador de llamadas
Options,Opciones
Advance,Avanzar
Add More,Añadir más
Ring Back,Volver a llamar
Invalid Retries,Reintentos no válidos
Timeout,Se acabó el tiempo
Caller ID Number Prefix,Prefijo del número de identificación de llamadas
Invalid Message,Mensaje inválido
Welcome Greeting,Saludo de bienvenida
Direct Dial,Línea directa
Create Queue,Crear cola
Edit Queue,Editar cola
Queue Added Successfully!,¡Cola agregada correctamente!
Queue Updated Successfully!,¡Cola actualizada correctamente!
Queue removed successfully!,¡Cola eliminada correctamente!
Agent Dial Number,Número de marcación del agente
Queues,Colas
Queue,Cola
Edit Recording,Editar grabación
Create Recording,Crear grabación
Recording Added Successfully!,¡Grabación agregada con éxito!
Recording deleted successfully!,¡Grabación eliminada con éxito!
Recording Information,Información de grabación
to create a recording,para crear una grabación
Dial,Marcar
Ring Group,Grupo de anillo
Ring Group Add,Grupo de anillo Agregar
Edit Ring Group,Editar grupo de timbre
Create Ringgroup,Crear grupo de anillo
Ring group added successfully!,¡El grupo de anillo se agregó correctamente!
Ring group updated successfully!,¡Grupo de anillo actualizado correctamente!
Ring group deleted successfully!,¡Grupo de anillo eliminado correctamente!
Ring Group Information,Información del grupo de timbre
Do you want create sip devices?,¿Quieres crear dispositivos sip?
Sip device Count,Recuento de dispositivos Sip
Next,Siguiente
Basic Settings,Ajustes básicos
Ring Strategy,Estrategia de anillo
Sequence,Secuencia
Simultaneous,Simultáneo
Delay (Seconds),Retraso (segundos)
Timeout (Seconds),Tiempo de espera (segundos)
Prompt,Rápido
Announcement,Anuncio
CID Name Prefix,Prefijo de nombre CID
CID Number Prefix,Prefijo de número CID
Call Recording,Grabacion de llamada
Forcefully Enable,Habilitar con fuerza
Forcefully Disable,Desactivar forzosamente
Skip busy,Saltar ocupado
No Answer Call Type,Tipo de llamada sin respuesta
Call Routing,Enrutamiento de llamadas
Enabled,Habilitado
Disabled,Discapacitado
Time Conditions List,Lista de condiciones de tiempo
Create Time Conditions,Crear condiciones de tiempo
Edit Time Conditions,Editar condiciones de tiempo
Time Conditions Added Successfully!,¡Condiciones de tiempo agregadas con éxito!
Time Conditions Updated Successfully!,¡Condiciones de tiempo actualizadas con éxito!
Time Conditions removed successfully!,¡Condiciones de tiempo eliminadas con éxito!
Failover Condition,Condición de conmutación por error
Start Hour,Hora de inicio
Week day,Día laborable
Month day,Mes dia
End Hour,Hora final
Jan,ene
Feb,feb
Mar,mar
Apr,abr
Jun,jun
Jul,jul
Aug,ago
Sep,sep
Oct,oct
Nov,nov
Dec,dic
Sunday,domingo
Monday,lunes
Tuesday,martes
Wednesday,miércoles
Thursday,jueves
Friday,viernes
Saturday,sábado
Extensions Destination,Destino de extensiones
Extensions Call Type,Tipo de llamada de extensiones
Ignore Busy,Ignorar ocupado
Do Not Disturb,No molestar
Pickup Group List,Lista de grupos de recogida
Allow Pickup Group List,Permitir lista de grupos de recogida
Not Registered,No registrado
Call Waiting,Llamada en espera
On Busy,En ocupado
No Answer,Sin respuesta
Destinations,Destinos
Follow Me,Sígueme
Conference Profile,Perfil de la conferencia
Conference Controls,Controles de conferencia
Conference,Conferencia
Time Conditions,Condiciones de tiempo
RingGroup,RingGroup
IVR,IVR
Advance Settings,Configuraciones avanzadas
Agent Back-Tone,Tono de fondo del agente
Customer Back-Tone,Tono de fondo del cliente
Time Condition,Condición de tiempo
LAST FTP PROCESS,ÚLTIMO PROCESO FTP
Group Name,Nombre del grupo
Ported Number List,Lista de números transferidos
Import Ported Number,Importar número portado
has been uploaded successfully!,se ha subido correctamente!
Destination From,Destino desde
Destination To,Destino a
Routing Label,Etiqueta de ruta
Number From,Número de
Participant,Partícipe
Number To,Número a
File must be in the following format(.gz):,El archivo debe tener el siguiente formato (.gz):
Create Schedule Report,Crear informe de programación
Schedule Report,Informe de programación
Schedule Report added successfully!,¡Informe de programación agregado correctamente!
Schedule Report has been deleted !,¡Se ha eliminado el informe de programación!
Email ID,Identificación de correo
Filters,Filtros
Unique ID,Identificación única
Call Start,Inicio de llamada
Recurring Type,Tipo recurrente
Field List,Lista de campo
Report Description,Descripción del reporte
Are you sure you want to close?,¿Seguro que quieres cerrar?
Alarm Name,Nombre de alarma
Alarm Type,Tipo de alarma
Alarm On,Alarma activada
Threshold Value,Valor umbral
Period,Período
Last Triggered Date,Última fecha de activación
Create Alarm,Crear alarma
Ping Type,Tipo de ping
Freeswitch,Freeswitch
Console,Consola
Period (In Seconds),Periodo (en segundos)
Edit Alarm,Editar alarma
CIC,CIC
Active Calls,Llamadas activas
Call Alarms,Alarmas de llamada
Report,Reporte
Triggered Value,Valor activado
Period,Período
Alarm Report,Informe de alarma
Resolved,Resuelto
Are you sure want to close selected alarm ?,¿Está seguro de que desea cerrar la alarma seleccionada?
Country Report,Informe de país
Debits,Débitos
ASR : Answer Seizure Ratio,ASR: Ratio de convulsiones de respuesta
ACD : Average Call Duration,ACD: duración media de la llamada
MCD : Maximum Call Duration,MCD: duración máxima de la llamada
Custom Rates,Tarifas personalizadas
Create Custom Rate,Crear tarifa personalizada
Edit Custom Rate,Editar tarifa personalizada
Registered SIP Devices,Dispositivos SIP registrados
Switch Host,Cambiar de host
Refresh Time,Tiempo de actualización
Sec.,Segundo.
Min.,Min.
User,Usuario
Contact,Contacto
Client-IP,IP de cliente
Client Port,Puerto del cliente
User Agent,Agente de usuario
Registered Gateways,Gateways registrados
Call In,Llamar
Call Out,Gritar
Fail Call In,Falla llamar
Fail Call Out,No llamar
State,Estado
Switch CLI,Cambiar CLI
Freeswitch CLI,CLI de Freeswitch
Live Call Graph,Gráfico de llamadas en vivo
--Select All--,--Seleccionar todo--
Call Count,Recuento de llamadas
Live Call data,Datos de llamadas en vivo
SMS Rate Group,Grupo de tarifas de SMS
SMS CDRs,CDR de SMS
Auto Refill,Recarga automática
Refill Amount,Cantidad de recarga
Occurrence Per Day,Ocurrencia por día
Message From,Mensaje de
Message To,Mensaje para
SMS Type,Tipo de SMS
Profile Name,Nombre de perfil
Edit Conference profiles,Editar perfiles de conferencia
Ring-Group,Grupo de anillo
Failover Destination,Destino de conmutación por error
Timeout(min),Tiempo de espera (min)
Create SMS Rate Group,Crear grupo de tarifas de SMS
SMS Rate Group Information,Información del grupo de tarifas de SMS
Markup(%),Margen(%)
SMS Origination Rate,Tasa de originación de SMS
Per SMS Cost,Costo por SMS
SMS Trunk add,SMS Trunk añadir
SMS Trunk Information,Información de troncal SMS
Trunk Settings,Configuración del maletero
Precedence,Precedencia
Trunk Name,Nombre del tronco
Edit SMS Trunk,Editar SMS Trunk
Add SMS Termination Rates,Agregar tarifas de terminación de SMS
Edit SMS Termination Rates,Editar tarifas de terminación de SMS
Import SMS Termination Rates Using Field Mapper,Importar tarifas de terminación de SMS usando Field Mapper
Import SMS Termination Rates,Importar tarifas de terminación de SMS
SMS Trunk,Troncal de SMS
Create SMS Gateway,Crear puerta de enlace SMS
Base URL,URL base
Api Key / Application Id,ID de aplicación / clave de API
Secret Key Id,ID de clave secreta
Api Key,Clave API
Based On Utilized Free Minutes,Basado en minutos gratuitos utilizados
Based On Utilized Highest Days/Free Minutes,Basado en los días más altos utilizados / minutos libres
ASR : Answer Seizure Ratio,ASR: Ratio de convulsiones de respuesta
ACD : Average Call Duration,ACD: duración media de la llamada
MCD : Maximum Call Duration,MCD: duración máxima de la llamada
Edit SMS Rate Group,Editar grupo de tarifas de SMS
 (Enterprise),  (Empresa)
Edit SMS Gateway,Editar puerta de enlace SMS
Edit Department,Editar departamento
Edit Support Ticket,Editar ticket de soporte
SMS Package,Paquete SMS
Free SMS,SMS gratis
auto_reply_mail_support,soporte de correo de respuesta automática
email_sent_support_ticket,ticket de soporte enviado por correo electrónico
alarm_report,informe de alarma
two_factor_authentication,Autenticación de dos factores
schedule_report,informe de programación
ported_number,número portado
ported_number_ftp_connect,número portado ftp connect
ported_number_no_file,número portado sin archivo
fraud_report,informe de fraude
outbound_fax_mail,correo de fax saliente
fax_receive_mail,fax recibir correo
Format,Formato
Fax Method,Método de fax
SIP Device,Dispositivo SIP
Web2fax,Web2fax
Email2fax,Email2fax
Fax2Mail,Fax2Mail
Success,Éxito
File,Archivo
APFaxer,APFaxer
Fax send Retries,Reintentos de envío de fax
Fax Email Id,ID de correo electrónico de fax
Fax Email Password,Fax Email Contraseña
Fax Server,Servidor de fax
Fax Server SIP Port,Puerto SIP del servidor de fax
Fax Email Host,Host de correo electrónico de fax
Create Fraud Detection,Crear detección de fraude
Filter by,Filtrado por
Per Dst. Prefix,Per Dst. Prefijo
Group By Dst. Prefix,Agrupar por Dst. Prefijo
Per Country,Por pais
Group by Country,Agrupar por País
Time Period,Periodo de tiempo
Warning Threshold,Umbral de advertencia
15 minutes,15 minutos
30 minutes,30 minutos
1 Hour,1 hora
3 Hours,3 horas
6 Hours,6 horas
12 Hours,12 horas
24 Hours,24 horas
Warning Action,Acción de advertencia
None,Ninguna
Block Threshold,Umbral de bloqueo
Block Action,Acción de bloque
 (In Minutes),  (En minutos)
Time Period,Periodo de tiempo
Edit Fraud Detection,Editar detección de fraude
Fraud Report,Informe de fraude
Fraud Trigger,Activador de fraude
Alarm Value,Valor de alarma
warning,advertencia
block,bloquear
--Select Account Type--,--Seleccione el tipo de cuenta--
Weekly,Semanal
Quarterly,Trimestral
Yearly,Anual
SMS Reports,Reportes SMS
SMS Summary,Resumen de SMS
SMS Customer,Cliente SMS
SMS Reseller,Revendedor de SMS
Customer SMS Report,Informe de SMS del cliente
Message Count,Recuento de mensajes
Resellers SMS Report,Informe SMS de revendedores
Customer SMS Summary Report,Informe resumido por SMS del cliente
Total Message,Mensaje total
Send Message,Enviar mensaje
Cancel Message,Cancelar mensaje
Reseller SMS Summary Report,Informe resumido por SMS del distribuidor
Two-factor Authentication,Autenticación de dos factores
Security,Seguridad
Whmcs Secret Key,Clave secreta de Whmcs
Whmcs IV Key,Llave Whmcs IV
Two-factor Authentication,Autenticación de dos factores
Currencies Update,Actualización de divisas
Call Activity Report,Informe de actividad de llamadas
Request A Number Port,Solicitar un puerto de número
Porting,Portabilidad
Generate,Generar
Callerid,Identificador de llamadas
International Recharge,Recarga internacional
Feature code updated successfully!,¡Código de característica actualizado con éxito!
Number Porting,Portabilidad de números
Number Porting Requests,Solicitudes de transferencia de números
Request a Number Port,Solicitar un puerto de número
Number / Number Range,Número / rango de números
Date Submitted,Fecha Enviado
Requested Date,Fecha solicitada
Requested Time,Hora solicitada
Actioned by,Actuado por
Note for Customer,Nota para el cliente
Accepted,Aceptado
Rejected,Rechazado
In Progress,En progreso
Completed,Terminado
Cancelled,Cancelado
