English,Italian
Asia/Srednekolymsk,Asia / Srednekolymsk
Asia/Tomsk,Asia / Tomsk
Asia/Ust-Nera,Asia / Ust-Nera
Asia/Vladivostok,Asia / Vladivostok
Asia/Yakutsk,Asia / Yakutsk
Asia/Yekaterinburg,Asia / Ekaterinburg
Europe/Astrakhan,Europa / Astrakhan
Europe/Kaliningrad,Europa / Kaliningrad
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Mosca
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgograd
Africa/Kigali,Africa / Kigali
Asia/Riyadh,Asia / Riyadh
Pacific/Guadalcanal,Pacifico / Guadalcanal
Indian/Mahe,Indiano / Mahe
Africa/Khartoum,Africa / Khartoum
Europe/Stockholm,Europa / Stoccolma
Asia/Singapore,Asia / Singapore
Atlantic/St_Helena,Atlantic / St_Helena
Europe/Ljubljana,Europa / Lubiana
Arctic/Longyearbyen,Artico / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,Africa / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,Africa / Dakar
Africa/Mogadishu,Africa / Mogadiscio
America/Paramaribo,America / Paramaribo
Africa/Juba,Africa / Juba
Africa/Sao_Tome,Africa / Sao_Tome
America/El_Salvador,America / El_Salvador
America/Lower_Princes,America / Lower_Princes
Asia/Damascus,Asia / Damasco
Africa/Mbabane,Africa / Mbabane
America/Grand_Turk,America / Grand_Turk
Africa/Ndjamena,Africa / Ndjamena
Indian/Kerguelen,Indiano / Kerguelen
Africa/Lome,Africa / Lomé
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dushanbe
Pacific/Fakaofo,Pacific / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,Africa / Tunisi
Pacific/Tongatapu,Pacifico / Tongatapu
Europe/Istanbul,Europa / Istanbul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacific / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,Africa / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporozhye
Africa/Kampala,Africa / Kampala
Pacific/Midway,Pacifico / Midway
Pacific/Wake,Pacifico / Wake
America/Adak,America / Adak
America/Anchorage,America / Anchorage
America/Boise,America / Boise
America/Chicago,America / Chicago
America/Denver,America / Denver
America/Detroit,America / Detroit
America/Indiana/Indianapolis,America / Indiana / Indianapolis
America/Indiana/Knox,America / Indiana / Knox
America/Indiana/Marengo,America / Indiana / Marengo
America/Indiana/Petersburg,America / Indiana / Pietroburgo
America/Indiana/Tell_City,America / Indiana / Tell_City
America/Indiana/Vevay,America / Indiana / Vevay
America/Indiana/Vincennes,America / Indiana / Vincennes
America/Indiana/Winamac,America / Indiana / Winamac
America/Juneau,America / Juneau
America/Kentucky/Louisville,America / Kentucky / Louisville
America/Kentucky/Monticello,America / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,America / Menominee
America/Metlakatla,America / Metlakatla
America/New_York,America / New_York
America/Nome,America / Nome
America/North_Dakota/Beulah,America / North_Dakota / Beulah
America/North_Dakota/Center,America / North_Dakota / Center
America/North_Dakota/New_Salem,America / North_Dakota / New_Salem
America/Phoenix,America / Phoenix
America/Sitka,America / Sitka
America/Yakutat,America / Yakutat
Pacific/Honolulu,Pacifico / Honolulu
America/Montevideo,America / Montevideo
Asia/Samarkand,Asia / Samarcanda
Asia/Tashkent,Asia / Tashkent
Europe/Vatican,Europa / Vaticano
America/St_Vincent,America / St_Vincent
America/Caracas,America / Caracas
America/Tortola,America / Tortola
America/St_Thomas,America / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacifico / Efate
Pacific/Wallis,Pacifico / Wallis
Pacific/Apia,Pacifico / Apia
Asia/Aden,Asia / Aden
Indian/Mayotte,Indiano / Mayotte
Africa/Johannesburg,Africa / Johannesburg
Africa/Lusaka,Africa / Lusaka
Africa/Harare,Africa / Harare
Company Profile,Profilo Aziendale
Opensips Dispatcher,Dispatcher di Opensips
account_refilled,account ricaricato
create_account,Creare un profilo
create_sip_device,crea dispositivo sip
new_invoice,nuova fattura
low_balance,scarso equilibrio
signup_confirmation,conferma della registrazione
new_password,nuova password
forgot_password_confirmation,conferma password dimenticata
invoice_due_reminder,sollecito fattura in scadenza
new_archive_table,nuova tabella archivio
balance_tranfer,trasferimento del saldo
product_purchase,acquisto del prodotto
product_release,rilascio di un prodotto
product_renewal_notice,avviso di rinnovo del prodotto
product_renewed,prodotto rinnovato
product_commission,commissione del prodotto
cdrs_archive_table_create_success,la tabella di archivio cdrs crea successo
cdrs_archive_table_create_fail,La creazione della tabella di archivio cdrs fallisce
reset_password,Resetta la password
international_low_balance,basso equilibrio internazionale
account_postcharge,addebito posticipato
ACCOUNT_INACTIVE_DELETED,ACCOUNT INATTIVO ELIMINATO
ACCOUNT_EXPIRE,ACCOUNT EXPIRE
ALLOTTED_TIMEOUT,TIMEOUT ASSEGNATO
AUTHENTICATION_FAIL,AUTENTICAZIONE FALLITA
BEARERCAPABILITY_NOTAUTH,BEARERCAPABILITY NOTAUTH
BEARERCAPABILITY_NOTAVAIL,PORTATILITÀ NON DISPONIBILE
BEARERCAPABILITY_NOTIMPL,PORTATILITÀ NOTIMPL
CALL_REJECTED,CHIAMATA RIFIUTATA
CHAN_NOT_IMPLEMENTED,CHAN NON IMPLEMENTATO
CHANNEL_UNACCEPTABLE,CANALE INACCETTABILE
DESTINATION_OUT_OF_ORDER,DESTINAZIONE FUORI SERVIZIO
DESTINATION_BLOCKED,DESTINAZIONE BLOCCATA
DID_DESTINATION_NOT_FOUND,DESTINAZIONE NON TROVATA
FACILITY_REJECTED,IMPIANTO RIFIUTATO
FACILITY_NOT_SUBSCRIBED,STRUTTURA NON SOTTOSCRITTA
FACILITY_NOT_IMPLEMENTED,IMPIANTO NON IMPLEMENTATO
FRAUD_CALL_PER_ACCOUNT,CHIAMATA FRODE PER ACCOUNT
FRAUD_CALL_PER_DESTINATION,CHIAMATA FRODE PER DESTINAZIONE
FRAUD_COST_PER_ACCOUNT,COSTO FRODE PER ACCOUNT
FRAUD_COST_PER_DESTINATION,COSTO FRODE PER DESTINAZIONE
INVALID_NUMBER_FORMAT,FORMATO NUMERO NON VALIDO
INCOMPATIBLE_DESTINATION,DESTINAZIONE INCOMPATIBILE
MANAGER_REQUEST,RICHIESTA DEL GESTORE
MEDIA_TIMEOUT,TIMEOUT MEDIA
NO_ROUTE_DESTINATION,NESSUNA DESTINAZIONE DEL PERCORSO
NORMAL_CLEARING,PULIZIA NORMALE
NETWORK_OUT_OF_ORDER,RETE FUORI SERVIZIO
NORMAL_UNSPECIFIED,NORMALE NON SPECIFICATO
NORMAL_CIRCUIT_CONGESTION,CONGESTIONE DEL CIRCUITO NORMALE
NORMAL_TEMPORARY_FAILURE,GUASTO TEMPORANEO NORMALE
NO_SUFFICIENT_FUND,NESSUN FONDO SUFFICIENTE
NO_USER_RESPONSE,NESSUNA RISPOSTA DELL'UTENTE
NO_ANSWER,NESSUNA RISPOSTA
NUMBER_CHANGED,NUMERO MODIFICATO
ORIGINATOR_CANCEL,ANNULLAMENTO DELL'ORIGINATORE
ORIGNATION_RATE_NOT_FOUND,TASSO DI ORIGNAZIONE NON TROVATO
OUTGOING_CALL_BARRED,CHIAMATA IN USCITA BLOCCATA
PROGRESS_TIMEOUT,TIMEOUT DEL PROGRESSO
RECOVERY_ON_TIMER_EXPIRE,RECUPERO ALLA SCADENZA DEL TIMER
RESELLER_COST_CHEAP,COSTO RIVENDITORE ECONOMICO
SERVICE_NOT_IMPLEMENTED,SERVIZIO NON IMPLEMENTATO
SERVICE_UNAVAILABLE,SERVIZIO NON DISPONIBILE
SUCCESS,SUCCESSO
SWITCH_CONGESTION,CONGESTIONE DI COMMUTAZIONE
TERMINATION_RATE_NOT_FOUND,TASSO DI RISOLUZIONE NON TROVATO
UNSPECIFIED,Non specificato
UNALLOCATED_NUMBER,NUMERO NON ASSEGNATO
USER_BUSY,UTENTE OCCUPATO
USER_NOT_REGISTERED,UTENTE NON REGISTRATO
REQUESTED_CHAN_UNAVAIL,CHAN NON DISPONIBILE
SUBSCRIBER_ABSENT,ABBONATO ASSENTE
account_refilled,account ricaricato
create_account,Creare un profilo
create_sip_device,crea dispositivo sip
new_invoice,nuova fattura
low_balance,scarso equilibrio
signup_confirmation,conferma della registrazione
new_password,nuova password
forgot_password_confirmation,conferma password dimenticata
invoice_due_reminder,sollecito fattura in scadenza
new_archive_table,nuova tabella archivio
balance_tranfer,trasferimento del saldo
product_purchase,acquisto del prodotto
product_release,rilascio di un prodotto
product_renewal_notice,avviso di rinnovo del prodotto
product_renewed,prodotto rinnovato
product_commission,commissione del prodotto
cdrs_archive_table_create_success,la tabella di archivio cdrs crea successo
cdrs_archive_table_create_fail,La creazione della tabella di archivio cdrs fallisce
reset_password,Resetta la password
international_low_balance,basso equilibrio internazionale
account_postcharge,addebito posticipato
Caller Id (CLI Match - If not matched then use random allocated Caller Id),"ID chiamante (corrispondenza CLI: se non corrisponde, utilizza l'ID chiamante assegnato in modo casuale)"
DID (CLI Match - If not matched then use random allocated DID),"DID (CLI Match - Se non corrisponde, utilizza DID allocato casualmente)"
ERROR:No Reords found.,ERRORE: nessuna registrazione trovata.
Sub Admin,Sub Admin
Create Account Range For Customer,Crea intervallo di account per il cliente
Minimum Account Number,Numero di conto minimo
Maximum Account Number,Numero massimo di conto
Create Account Range For Reseller,Crea intervallo di account per rivenditore
Create Account Range For Provider,Crea intervallo di account per il fornitore
International Credits,Crediti internazionali
Recharge,Ricaricare
Basic Details,Dettagli di base
International Balance,Equilibrio internazionale
InternationalPrefixes,Prefissi internazionali
International Prefixes,Prefissi internazionali
International Credit Limit,Limite di credito internazionale
Create Local Number,Crea numero locale
Local Number Import Process,Processo di importazione del numero locale
Import Local Number,Importa numero locale
Edit Local Number,Modifica numero locale
Mailchimp,Mailchimp
Mailchimp API Key,Chiave API Mailchimp
Mailchimp Audience Id,ID pubblico di Mailchimp
Support Tickets,Biglietti di supporto
Support Ticket,Ticket di supporto
Create Support Ticket,Crea ticket di supporto
Open New Ticket,Apri nuovo ticket
Department,Dipartimento
Attach more files,Allega più file
Reply,rispondere
Submit,Invia
High,Alto
Normal,Normale
Low,Basso
Open,Aperto
Answered,Risposto
Customer-Reply,Risposta del cliente
On-hold,In attesa
Progress,Progresso
Ticket Number,Numero del biglietto
Close Support Ticket,Chiudi ticket di supporto
Last Reply,Ultima risposta
Ticket No,Biglietto n
--All--,--Tutti--
Add Department,Aggiungi reparto
Department List,Elenco dei dipartimenti
SMTP Details,Dettagli SMTP
Department Additional Email Address,Indirizzo e-mail aggiuntivo del reparto
Department User,Utente reparto
Charge Full Amount,Carica intero importo
Based On Utilized Days,Basato sui giorni utilizzati
XML Updated Successfully!,XML aggiornato con successo!
ACL Reload Successfully!,Ricarica ACL con successo!
ACL Management,Gestione ACL
XML,XML
XML is Required!,XML è obbligatorio!
Reload ACL,Ricarica ACL
Low Balance,Basso equilibrio
Current Balance,Bilancio corrente
Trunk Statistics,Statistiche del tronco
Create Account Range,Crea intervallo di account
Recharge done successfully!,Ricarica eseguita con successo!
Duplicate Local number found from database,Numero locale duplicato trovato dal database
Country not valid.,Paese non valido.
Duplicate Local number found from import file.,Numero locale duplicato trovato dal file di importazione.
Local Number Import Error,Errore di importazione del numero locale
Local number updated successfully!,Numero locale aggiornato con successo!
Local number added successfully!,Numero locale aggiunto con successo!
Local number removed successfully!,Numero locale rimosso con successo!
Local number forwarding successfully!,Inoltro del numero locale con successo!
Destination Number,Numero di destinazione
Destination Name,Nome destinazione
Add Local Number,Aggiungi numero locale
Added Date,Data aggiunta
Support ticket removed successfully!,Ticket di supporto rimosso con successo!
Support ticket generated successfully!,Ticket di supporto generato con successo!
Edit Ticket,Modifica biglietto
Create Department,Crea reparto
Department added successfully!,Dipartimento aggiunto con successo!
Department removed successfully!,Reparto rimosso con successo!
Import Area Code,Importa prefisso
Back to Area Code List,Torna all'elenco dei prefissi
Alarm added successfully!,Allarme aggiunto con successo!
Alarm updated successfully!,Allarme aggiornato con successo!
Add Custom Rate,Aggiungi tariffa personalizzata
Custom Rate Updated Successfully!,Tariffa personalizzata aggiornata con successo!
Custom Rate Added Successfully!,Tariffa personalizzata aggiunta con successo!
Custom rate removed successfully!,Tariffa personalizzata rimossa con successo!
Delete Search Record,Elimina record di ricerca
Add Prefixes,Aggiungi prefissi
Register Gateway Information,Registrare le informazioni sul gateway
Authentication,Autenticazione
Please Enter Valid Key,Immettere una chiave valida
Alert,Mettere in guardia
Remote Check Failed,Controllo remoto non riuscito
MD5 Checksum Verification Failed,Verifica checksum MD5 non riuscita
Gateway ragister fail please try again,Gateway ragister fallito per favore riprova
Context,Contesto
Expires,Scade
Frequency,Frequenza
Ping Frequency,Frequenza ping
Fails Call In,Chiamata non riuscita
Fails Call Out,Chiamata non riuscita
Opensips Devices,Dispositivi Opensips
Second,Secondo
Add Auth Email,Aggiungi email di autenticazione
Edit Auth Email,Modifica email di autenticazione
Add Authemail,Aggiungi Authemail
Auth Email updated successfully!,Email di autenticazione aggiornata con successo!
Auth Email added successfully!,Email di autenticazione aggiunta con successo!
Auth Email removed successfully!,Email di autenticazione rimossa con successo!
Auth Email,Email di autenticazione
Authemail added successfully!,Posta elettronica aggiunta con successo!
Please Enter Authemail value.,Immettere il valore di posta elettronica automatica.
Authemail already Exists.,Il messaggio di posta elettronica esiste già.
Authemail removed sucessfully!,Authemail rimosso con successo!
Auth Email List,Elenco email di autenticazione
Auth Mapping,Mappatura autenticazione
Auth,Aut
Authemail,Authemail
Faxer,Faxer
This file not avilable for download!,Questo file non è disponibile per il download!
Create FAX,Crea FAX
Web2fax removed successfully!,Web2fax rimosso con successo!
Fax Type,Tipo di fax
Fax Number,Numero di fax
Fax Format,Formato fax
Fax Sent,Fax inviato
Send Date,Invia data
Files with format are allowed: .pdf,Sono consentiti file con formato: .pdf
Send Fax,Invia fax
Receive,Ricevere
Error,Errore
Conference List,Elenco conferenze
Edit Conference,Modifica conferenza
Create Conference,Crea conferenza
Conference Added Successfully!,Conferenza aggiunta con successo!
Conference Updated Successfully!,Conferenza aggiornata con successo!
Conference removed successfully!,Conferenza rimossa con successo!
Conference profiles,Profili conferenza
Create Conference profiles,Crea profili conferenza
Edit Conference Profile,Modifica profilo conferenza
Conference Setting Added Successfully!,Impostazione della conferenza aggiunta con successo!
Conference Setting Updated Successfully!,Impostazione della conferenza aggiornata con successo!
Conference Profile Removed Successfully!,Profilo conferenza rimosso con successo!
Conference Profiles Added Successfully!,Profili conferenza aggiunti con successo!
Conference Profiles Updated Successfully!,Profili conferenza aggiornati con successo!
Conference profiles removed successfully!,Profili conferenza rimossi correttamente!
Conference controls List,Elenco controlli conferenza
Edit Conference controls,Modifica controlli conferenza
Conference Controls Removed Successfully!,Controlli della conferenza rimossi con successo!
Conference Controls Added Successfully!,Controlli della conferenza aggiunti con successo!
Conference Controls Updated Successfully!,Controlli della conferenza aggiornati con successo!
Pin Number,Codice PIN
Duration (Second),Durata (secondo)
Greeting,Saluto
Create Conference Controls,Crea controlli conferenza
Controls Name,Nome controlli
Data,Dati
Domains,Domini
Edit Domains,Modifica domini
Domain Updated Successfully!,Dominio aggiornato con successo!
Please enter proper domain value.,Inserisci il valore di dominio corretto.
Domain name,Nome del dominio
Edit Domain,Modifica dominio
Feature Code,Codice funzione
Feature code removed successfully!,Codice funzione rimosso con successo!
Feature code is already exist in system,Il codice funzione è già presente nel sistema
Pickup Group,Pickup Group
Create Pickup Group,Crea gruppo di ritiro
Edit Pickup Group,Modifica gruppo di ritiro
Pickup group updated successfully!,Gruppo di ritiro aggiornato con successo!
Pickup group added successfully!,Gruppo di ritiro aggiunto con successo!
Pickup group removed successfully!,Gruppo di ritiro rimosso con successo!
Feature,Caratteristica
IVR List,Elenco IVR
Create IVR,Crea IVR
Edit IVR,Modifica IVR
Ivr added successfully!,Ivr aggiunto con successo!
Ivr updated successfully!,Ivr aggiornato con successo!
Ivr removed successfully!,Ivr rimosso con successo!
Caller ID Name Prefix,Prefisso nome ID chiamante
Options,Opzioni
Advance,Progredire
Add More,Aggiungere altro
Ring Back,Richiamare
Invalid Retries,Tentativi non validi
Timeout,Tempo scaduto
Caller ID Number Prefix,Prefisso numero ID chiamante
Invalid Message,Messaggio non valido
Welcome Greeting,Saluto di benvenuto
Direct Dial,Chiamata diretta
Create Queue,Crea coda
Edit Queue,Modifica coda
Queue Added Successfully!,Coda aggiunta con successo!
Queue Updated Successfully!,Coda aggiornata con successo!
Queue removed successfully!,Coda rimossa con successo!
Agent Dial Number,Numero di composizione dell'agente
Queues,Code
Queue,Coda
Edit Recording,Modifica registrazione
Create Recording,Crea registrazione
Recording Added Successfully!,Registrazione aggiunta con successo!
Recording deleted successfully!,Registrazione eliminata con successo!
Recording Information,Informazioni sulla registrazione
to create a recording,per creare una registrazione
Dial,Comporre
Ring Group,Gruppo suoneria
Ring Group Add,Aggiungi gruppo suoneria
Edit Ring Group,Modifica gruppo suoneria
Create Ringgroup,Crea gruppo suoneria
Ring group added successfully!,Gruppo suoneria aggiunto con successo!
Ring group updated successfully!,Gruppo suoneria aggiornato con successo!
Ring group deleted successfully!,Gruppo suoneria eliminato con successo!
Ring Group Information,Informazioni sul gruppo suoneria
Do you want create sip devices?,Vuoi creare dispositivi sip?
Sip device Count,Conteggio dispositivo Sip
Next,Il prossimo
Basic Settings,Impostazioni di base
Ring Strategy,Strategia ad anello
Sequence,Sequenza
Simultaneous,Simultanea
Delay (Seconds),Ritardo (secondi)
Timeout (Seconds),Timeout (secondi)
Prompt,Richiesta
Announcement,Annuncio
CID Name Prefix,Prefisso nome CID
CID Number Prefix,Prefisso numero CID
Call Recording,Registrazione delle chiamate
Forcefully Enable,Abilita con forza
Forcefully Disable,Disabilita forzatamente
Skip busy,Salta occupato
No Answer Call Type,Tipo di chiamata senza risposta
Call Routing,Instradamento delle chiamate
Enabled,Abilitato
Disabled,Disabilitato
Time Conditions List,Elenco delle condizioni temporali
Create Time Conditions,Crea condizioni temporali
Edit Time Conditions,Modifica condizioni temporali
Time Conditions Added Successfully!,Condizioni di tempo aggiunte con successo!
Time Conditions Updated Successfully!,Condizioni di tempo aggiornate con successo!
Time Conditions removed successfully!,Condizioni temporali rimosse con successo!
Failover Condition,Condizione di failover
Start Hour,Ora di inizio
Week day,Giorno della settimana
Month day,Mese giorno
End Hour,End Hour
Jan,Jan
Feb,Feb
Mar,Mar
Apr,Apr
Jun,Jun
Jul,Lug
Aug,Ago
Sep,Sep
Oct,Ott
Nov,Nov
Dec,Dic
Sunday,Domenica
Monday,Lunedi
Tuesday,martedì
Wednesday,mercoledì
Thursday,giovedi
Friday,Venerdì
Saturday,Sabato
Extensions Destination,Destinazione estensioni
Extensions Call Type,Tipo di chiamata interni
Ignore Busy,Ignora occupato
Do Not Disturb,Non disturbare
Pickup Group List,Pickup Group List
Allow Pickup Group List,Consenti elenco gruppi di prelievo
Not Registered,Non registrato
Call Waiting,Chiamata in attesa
On Busy,Occupato
No Answer,Nessuna risposta
Destinations,Destinazioni
Follow Me,Seguimi
Conference Profile,Profilo conferenza
Conference Controls,Controlli della conferenza
Conference,Conferenza
Time Conditions,Condizioni di tempo
RingGroup,RingGroup
IVR,IVR
Advance Settings,Impostazioni avanzate
Agent Back-Tone,Back-Tone dell'agente
Customer Back-Tone,Back-tone del cliente
Time Condition,Condizione temporale
LAST FTP PROCESS,ULTIMO PROCESSO FTP
Group Name,Nome del gruppo
Ported Number List,Elenco dei numeri trasferiti
Import Ported Number,Importa numero trasferito
has been uploaded successfully!,è stato caricato con successo!
Destination From,Destinazione da
Destination To,Destinazione a
Routing Label,Etichetta di instradamento
Number From,Numero da
Participant,Partecipante
Number To,Numero a
File must be in the following format(.gz):,Il file deve essere nel seguente formato (.gz):
Create Schedule Report,Crea rapporto di pianificazione
Schedule Report,Pianifica rapporto
Schedule Report added successfully!,Report di pianificazione aggiunto con successo!
Schedule Report has been deleted !,Il rapporto di pianificazione è stato eliminato!
Email ID,E-mail identificativo utente
Filters,Filtri
Unique ID,ID univoco
Call Start,Call Start
Recurring Type,Tipo ricorrente
Field List,Elenco dei campi
Report Description,Descrizione del report
Are you sure you want to close?,Sei sicuro di voler chiudere?
Alarm Name,Nome allarme
Alarm Type,Tipo di allarme
Alarm On,Allarme attivato
Threshold Value,Valore di soglia
Period,Periodo
Last Triggered Date,Data ultima attivazione
Create Alarm,Crea allarme
Ping Type,Tipo di ping
Freeswitch,Freeswitch
Console,Console
Period (In Seconds),Periodo (in secondi)
Edit Alarm,Modifica allarme
CIC,CIC
Active Calls,Chiamate attive
Call Alarms,Allarmi di chiamata
Report,rapporto
Triggered Value,Valore attivato
Period,Periodo
Alarm Report,Rapporto di allarme
Resolved,Risolto
Are you sure want to close selected alarm ?,Sei sicuro di voler chiudere l'allarme selezionato?
Country Report,Rapporto Paese
Debits,Debiti
ASR : Answer Seizure Ratio,ASR: Rapporto sequestro risposta
ACD : Average Call Duration,ACD: durata media delle chiamate
MCD : Maximum Call Duration,MCD: durata massima della chiamata
Custom Rates,Tariffe personalizzate
Create Custom Rate,Crea tariffa personalizzata
Edit Custom Rate,Modifica tariffa personalizzata
Registered SIP Devices,Dispositivi SIP registrati
Switch Host,Cambia host
Refresh Time,Aggiorna il tempo
Sec.,Sec.
Min.,Min.
User,Utente
Contact,Contatto
Client-IP,IP client
Client Port,Porta client
User Agent,Agente utente
Registered Gateways,Gateway registrati
Call In,Chiamare
Call Out,Chiamare
Fail Call In,Chiamata fallita
Fail Call Out,Fail Call Out
State,Stato
Switch CLI,Cambia CLI
Freeswitch CLI,CLI di Freeswitch
Live Call Graph,Grafico delle chiamate in tempo reale
--Select All--,--Seleziona tutto--
Call Count,Conteggio chiamate
Live Call data,Dati delle chiamate in tempo reale
SMS Rate Group,Gruppo di tariffe SMS
SMS CDRs,CDR SMS
Auto Refill,Ricarica automatica
Refill Amount,Importo di ricarica
Occurrence Per Day,Evento al giorno
Message From,Messaggio da
Message To,Messaggio a
SMS Type,Tipo di SMS
Profile Name,Nome del profilo
Edit Conference profiles,Modifica i profili della conferenza
Ring-Group,Ring-Group
Failover Destination,Destinazione di failover
Timeout(min),Timeout (min)
Create SMS Rate Group,Crea gruppo tariffario SMS
SMS Rate Group Information,Informazioni sul gruppo di tariffe SMS
Markup(%),Ricarico (%)
SMS Origination Rate,Tasso di origine SMS
Per SMS Cost,Costo per SMS
SMS Trunk add,Aggiungi trunk SMS
SMS Trunk Information,Informazioni sul trunk SMS
Trunk Settings,Impostazioni del tronco
Precedence,Precedenza
Trunk Name,Nome del tronco
Edit SMS Trunk,Modifica trunk SMS
Add SMS Termination Rates,Aggiungi tariffe di terminazione SMS
Edit SMS Termination Rates,Modifica le tariffe di terminazione SMS
Import SMS Termination Rates Using Field Mapper,Importare le tariffe di terminazione SMS utilizzando Field Mapper
Import SMS Termination Rates,Importa tariffe di terminazione SMS
SMS Trunk,Trunk SMS
Create SMS Gateway,Crea SMS Gateway
Base URL,URL di base
Api Key / Application Id,Chiave API / ID applicazione
Secret Key Id,ID chiave segreta
Api Key,Chiave API
Based On Utilized Free Minutes,Basato sui minuti gratuiti utilizzati
Based On Utilized Highest Days/Free Minutes,Basato sui giorni massimi utilizzati / minuti gratuiti
ASR : Answer Seizure Ratio,ASR: Rapporto sequestro risposta
ACD : Average Call Duration,ACD: durata media delle chiamate
MCD : Maximum Call Duration,MCD: durata massima della chiamata
Edit SMS Rate Group,Modifica gruppo di tariffe SMS
 (Enterprise),  (Impresa)
Edit SMS Gateway,Modifica SMS Gateway
Edit Department,Modifica reparto
Edit Support Ticket,Modifica ticket di supporto
SMS Package,Pacchetto SMS
Free SMS,SMS gratuiti
auto_reply_mail_support,supporto della posta di risposta automatica
email_sent_support_ticket,e-mail inviata ticket di supporto
alarm_report,rapporto di allarme
two_factor_authentication,autenticazione a due fattori
schedule_report,rapporto di pianificazione
ported_number,numero trasferito
ported_number_ftp_connect,numero di porta ftp connect
ported_number_no_file,numero di porta nessun file
fraud_report,rapporto di frode
outbound_fax_mail,posta fax in uscita
fax_receive_mail,fax riceve posta
Format,Formato
Fax Method,Metodo fax
SIP Device,Dispositivo SIP
Web2fax,Web2fax
Email2fax,Email2fax
Fax2Mail,Fax2Mail
Success,Successo
File,File
APFaxer,APFaxer
Fax send Retries,Tentativi di invio fax
Fax Email Id,ID e-mail fax
Fax Email Password,Password e-mail fax
Fax Server,Fax Server
Fax Server SIP Port,Porta SIP del server fax
Fax Email Host,Host e-mail fax
Create Fraud Detection,Crea rilevamento frodi
Filter by,Filtra per
Per Dst. Prefix,Per Dst. Prefisso
Group By Dst. Prefix,Gruppo di Dst. Prefisso
Per Country,Per Paese
Group by Country,Raggruppa per Paese
Time Period,Periodo di tempo
Warning Threshold,Soglia di avviso
15 minutes,15 minuti
30 minutes,30 minuti
1 Hour,1 ora
3 Hours,3 ore
6 Hours,6 ore
12 Hours,12 ore
24 Hours,24 ore
Warning Action,Azione di avvertenza
None,Nessuna
Block Threshold,Soglia di blocco
Block Action,Blocca azione
 (In Minutes),  (In minuti)
Time Period,Periodo di tempo
Edit Fraud Detection,Modifica rilevamento frodi
Fraud Report,Rapporto sulle frodi
Fraud Trigger,Trigger di frode
Alarm Value,Valore di allarme
warning,avvertimento
block,bloccare
--Select Account Type--,- Seleziona tipo di account--
Weekly,settimanalmente
Quarterly,Trimestrale
Yearly,Annuale
SMS Reports,Rapporti SMS
SMS Summary,Riepilogo SMS
SMS Customer,Cliente SMS
SMS Reseller,Rivenditore SMS
Customer SMS Report,Rapporto SMS cliente
Message Count,Conteggio messaggi
Resellers SMS Report,Reseller SMS Report
Customer SMS Summary Report,Report di riepilogo SMS cliente
Total Message,Messaggio totale
Send Message,Invia messaggio
Cancel Message,Annulla messaggio
Reseller SMS Summary Report,Reseller SMS Summary Report
Two-factor Authentication,Autenticazione a due fattori
Security,Sicurezza
Whmcs Secret Key,Whmcs Secret Key
Whmcs IV Key,Whmcs IV chiave
Two-factor Authentication,Autenticazione a due fattori
Currencies Update,Aggiornamento valute
Call Activity Report,Rapporto sull'attività di chiamata
Request A Number Port,Richiedi una porta numero
Porting,Porting
Generate,creare
Callerid,Callerid
International Recharge,Ricarica internazionale
Feature code updated successfully!,Codice funzione aggiornato con successo!
Number Porting,Trasferimento del numero
Number Porting Requests,Richieste di trasferimento del numero
Request a Number Port,Richiedi una porta numero
Number / Number Range,Numero / intervallo di numeri
Date Submitted,Data di invio
Requested Date,Data richiesta
Requested Time,Tempo richiesto
Actioned by,Azionato da
Note for Customer,Nota per il cliente
Accepted,Accettato
Rejected,Respinto
In Progress,In corso
Completed,Completato
Cancelled,Annullato
Create Porting Request Number,Crea numero di richiesta di trasferimento
Porting Request Number,Numero di richiesta di trasferimento
Company Address,indirizzo aziendale
Individual Number,Numero individuale
Start Number,Numero iniziale
Number Range,Gamma di numeri
End Number,Numero finale
New Provider Name,Nuovo nome provider
Existing Provider Name,Nome provider esistente
Requested Port Date,Data del porto richiesta
Requested Port Time,Tempo di porta richiesto
Upload most recent phone bill,Carica la bolletta telefonica più recente
Edit Porting Request,Modifica richiesta di trasferimento
Telephone Number,Numero di telefono
File Download,Download file
Accept,Accettare
Reject,Rifiutare
Edit Porting Request Number,Modifica numero richiesta di trasferimento
Retired,Pensionato
porting_request,richiesta di porting
